variable,source_variable,source_dataset,description,source
country,country,various_datasets,Geographic location,Our World in Data
year,year,various_datasets,Year of observation,Our World in Data
iso_code,iso_alpha3,regions,ISO 3166-1 alpha-3 three-letter country codes,International Organization for Standardization
population,population,population,"Population","Calculated by Our World in Data based on different sources (https://ourworldindata.org/population-sources)"
gdp,gdp,maddison_gdp,"Total real gross domestic product, inflation-adjusted",Maddison Project Database
biofuel_cons_change_pct,biofuels__pct_growth,energy_mix,Annual percentage change in biofuel consumption,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
biofuel_cons_change_twh,biofuels__twh_growth,energy_mix,"Annual change in biofuel consumption, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
biofuel_cons_per_capita,biofuels_per_capita__kwh,energy_mix,"Per capita primary energy consumption from biofuels, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
biofuel_consumption,biofuels__twh,energy_mix,"Primary energy consumption from biofuels, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
biofuel_elec_per_capita,per_capita_bioenergy_generation__kwh,electricity_mix,"Per capita electricity generation from biofuels, measured in kilowatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
biofuel_electricity,bioenergy_generation__twh,electricity_mix,"Electricity generation from biofuels, measured in terawatt-hours",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
biofuel_share_elec,bioenergy_share_of_electricity__pct,electricity_mix,Share of electricity generation that comes from biofuels,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
biofuel_share_energy,biofuels__pct_equivalent_primary_energy,energy_mix,Share of primary energy consumption that comes from biofuels,Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy
carbon_intensity_elec,co2_intensity__gco2_kwh,electricity_mix,"Carbon intensity of electricity production, measured in grams of carbon dioxide emitted per kilowatt-hour",Calculated by Our World in Data based on the Energy Institute Statistical Review of World Energy and Ember Yearly Electricity Data and European Electricity Review
