Finland, Life tables (period 1x1), Total	Last modified: 09 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1878           0      0.19704  0.17334  0.31  100000   17334   87970  3933871  39.34
  1878           1      0.08313  0.07982  0.50   82666    6598   79367  3845901  46.52
  1878           2      0.04572  0.04470  0.50   76068    3400   74368  3766534  49.52
  1878           3      0.02813  0.02774  0.50   72668    2016   71660  3692166  50.81
  1878           4      0.02041  0.02021  0.50   70652    1428   69938  3620507  51.24
  1878           5      0.01524  0.01512  0.50   69224    1047   68701  3550569  51.29
  1878           6      0.01228  0.01221  0.50   68177     832   67761  3481868  51.07
  1878           7      0.00989  0.00984  0.50   67345     663   67013  3414108  50.70
  1878           8      0.00774  0.00771  0.50   66682     514   66425  3347094  50.19
  1878           9      0.00657  0.00655  0.50   66168     433   65951  3280669  49.58
  1878          10      0.00630  0.00628  0.50   65735     413   65528  3214718  48.90
  1878          11      0.00546  0.00545  0.50   65322     356   65144  3149190  48.21
  1878          12      0.00525  0.00523  0.50   64966     340   64796  3084046  47.47
  1878          13      0.00451  0.00450  0.50   64626     291   64481  3019250  46.72
  1878          14      0.00456  0.00455  0.50   64335     292   64189  2954770  45.93
  1878          15      0.00529  0.00528  0.50   64043     338   63874  2890581  45.14
  1878          16      0.00548  0.00546  0.50   63705     348   63531  2826707  44.37
  1878          17      0.00547  0.00545  0.50   63357     346   63184  2763176  43.61
  1878          18      0.00610  0.00608  0.50   63011     383   62820  2699992  42.85
  1878          19      0.00603  0.00601  0.50   62628     376   62440  2637172  42.11
  1878          20      0.00639  0.00637  0.50   62252     396   62054  2574732  41.36
  1878          21      0.00635  0.00633  0.50   61856     391   61660  2512679  40.62
  1878          22      0.00763  0.00760  0.50   61464     467   61231  2451019  39.88
  1878          23      0.00637  0.00635  0.50   60997     387   60803  2389788  39.18
  1878          24      0.00756  0.00754  0.50   60610     457   60381  2328985  38.43
  1878          25      0.00662  0.00660  0.50   60153     397   59955  2268603  37.71
  1878          26      0.00877  0.00873  0.50   59756     522   59495  2208649  36.96
  1878          27      0.00825  0.00822  0.50   59234     487   58991  2149154  36.28
  1878          28      0.00812  0.00809  0.50   58747     475   58510  2090163  35.58
  1878          29      0.00759  0.00756  0.50   58272     441   58052  2031653  34.86
  1878          30      0.00846  0.00843  0.50   57832     487   57588  1973601  34.13
  1878          31      0.00767  0.00764  0.50   57344     438   57125  1916013  33.41
  1878          32      0.00747  0.00744  0.50   56906     423   56694  1858887  32.67
  1878          33      0.00815  0.00811  0.50   56483     458   56254  1802193  31.91
  1878          34      0.00811  0.00807  0.50   56024     452   55798  1745940  31.16
  1878          35      0.00974  0.00969  0.50   55572     539   55303  1690141  30.41
  1878          36      0.00830  0.00826  0.50   55033     455   54806  1634838  29.71
  1878          37      0.00955  0.00950  0.50   54579     519   54319  1580032  28.95
  1878          38      0.01006  0.01001  0.50   54060     541   53789  1525713  28.22
  1878          39      0.00991  0.00986  0.50   53519     528   53255  1471924  27.50
  1878          40      0.01136  0.01130  0.50   52991     599   52692  1418669  26.77
  1878          41      0.01172  0.01165  0.50   52393     610   52087  1365977  26.07
  1878          42      0.01200  0.01193  0.50   51782     618   51473  1313889  25.37
  1878          43      0.01225  0.01218  0.50   51165     623   50853  1262416  24.67
  1878          44      0.01137  0.01131  0.50   50541     572   50256  1211563  23.97
  1878          45      0.01029  0.01023  0.50   49970     511   49714  1161308  23.24
  1878          46      0.01290  0.01282  0.50   49458     634   49141  1111594  22.48
  1878          47      0.01382  0.01373  0.50   48824     670   48489  1062452  21.76
  1878          48      0.01379  0.01369  0.50   48154     659   47825  1013963  21.06
  1878          49      0.01405  0.01396  0.50   47495     663   47163   966139  20.34
