Sweden, Life tables (period 1x1), Total	Last modified: 12 May 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1751           0      0.22677  0.19594  0.31  100000   19594   86404  3842942  38.43
  1751           1      0.05117  0.04989  0.50   80406    4012   78400  3756539  46.72
  1751           2      0.03341  0.03286  0.50   76394    2510   75139  3678139  48.15
  1751           3      0.02694  0.02658  0.50   73884    1964   72902  3603000  48.77
  1751           4      0.02468  0.02438  0.50   71920    1753   71044  3530097  49.08
  1751           5      0.01977  0.01957  0.50   70167    1373   69480  3459054  49.30
  1751           6      0.01379  0.01369  0.50   68793     942   68322  3389574  49.27
  1751           7      0.00946  0.00941  0.50   67851     639   67532  3321251  48.95
  1751           8      0.00666  0.00664  0.50   67213     446   66990  3253719  48.41
  1751           9      0.00542  0.00541  0.50   66767     361   66586  3186729  47.73
  1751          10      0.00561  0.00559  0.50   66406     371   66220  3120143  46.99
  1751          11      0.00612  0.00610  0.50   66034     403   65833  3053923  46.25
  1751          12      0.00651  0.00649  0.50   65631     426   65418  2988091  45.53
  1751          13      0.00674  0.00672  0.50   65205     438   64986  2922672  44.82
  1751          14      0.00675  0.00673  0.50   64767     436   64549  2857686  44.12
  1751          15      0.00643  0.00641  0.50   64332     412   64125  2793136  43.42
  1751          16      0.00605  0.00603  0.50   63919     385   63727  2729011  42.69
  1751          17      0.00591  0.00589  0.50   63534     374   63347  2665284  41.95
  1751          18      0.00601  0.00599  0.50   63160     378   62971  2601938  41.20
  1751          19      0.00630  0.00628  0.50   62781     394   62584  2538967  40.44
  1751          20      0.00677  0.00675  0.50   62387     421   62177  2476383  39.69
  1751          21      0.00730  0.00727  0.50   61966     450   61741  2414206  38.96
  1751          22      0.00774  0.00771  0.50   61516     474   61279  2352465  38.24
  1751          23      0.00803  0.00800  0.50   61042     488   60797  2291187  37.53
  1751          24      0.00827  0.00824  0.50   60553     499   60304  2230389  36.83
