Italy , Life tables (period 1x10), Total	Last modified: 11 Apr 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1872-1879        0      0.24588  0.21004  0.31  100000   21004   85424  3292643  32.93
1872-1879        1      0.09918  0.09449  0.50   78996    7465   75264  3207219  40.60
1872-1879        2      0.07446  0.07178  0.50   71531    5135   68964  3131955  43.78
1872-1879        3      0.05139  0.05010  0.50   66396    3327   64733  3062991  46.13
1872-1879        4      0.03441  0.03383  0.50   63070    2134   62003  2998258  47.54
1872-1879        5      0.02442  0.02413  0.50   60936    1470   60201  2936256  48.19
1872-1879        6      0.01707  0.01692  0.50   59466    1006   58962  2876055  48.37
1872-1879        7      0.01142  0.01136  0.50   58459     664   58127  2817093  48.19
1872-1879        8      0.00766  0.00763  0.50   57795     441   57575  2758966  47.74
1872-1879        9      0.00591  0.00589  0.50   57354     338   57185  2701391  47.10
1872-1879       10      0.00581  0.00580  0.50   57016     331   56851  2644206  46.38
1872-1879       11      0.00605  0.00603  0.50   56686     342   56515  2587354  45.64
1872-1879       12      0.00619  0.00617  0.50   56344     348   56170  2530839  44.92
1872-1879       13      0.00625  0.00623  0.50   55996     349   55822  2474669  44.19
1872-1879       14      0.00628  0.00626  0.50   55647     348   55473  2418848  43.47
1872-1879       15      0.00626  0.00624  0.50   55299     345   55126  2363375  42.74
1872-1879       16      0.00640  0.00638  0.50   54953     350   54778  2308249  42.00
1872-1879       17      0.00674  0.00672  0.50   54603     367   54420  2253470  41.27
1872-1879       18      0.00727  0.00725  0.50   54236     393   54040  2199051  40.55
1872-1879       19      0.00804  0.00801  0.50   53843     431   53627  2145011  39.84
1872-1879       20      0.00893  0.00889  0.50   53412     475   53174  2091384  39.16
1872-1879       21      0.00963  0.00959  0.50   52937     507   52683  2038209  38.50
1872-1879       22      0.01014  0.01009  0.50   52430     529   52165  1985526  37.87
1872-1879       23      0.01037  0.01032  0.50   51901     535   51633  1933361  37.25
1872-1879       24      0.01034  0.01029  0.50   51365     528   51101  1881728  36.63
1872-1879       25      0.01005  0.01000  0.50   50837     508   50583  1830627  36.01
1872-1879       26      0.00977  0.00973  0.50   50329     490   50084  1780045  35.37
1872-1879       27      0.00963  0.00958  0.50   49839     478   49600  1729961  34.71
1872-1879       28      0.00960  0.00956  0.50   49361     472   49125  1680361  34.04
1872-1879       29      0.00981  0.00976  0.50   48890     477   48651  1631235  33.37
1872-1879       30      0.00981  0.00976  0.50   48412     473   48176  1582584  32.69
1872-1879       31      0.00991  0.00987  0.50   47940     473   47703  1534408  32.01
1872-1879       32      0.01034  0.01028  0.50   47467     488   47223  1486705  31.32
1872-1879       33      0.01071  0.01065  0.50   46979     500   46729  1439482  30.64
1872-1879       34      0.01111  0.01105  0.50   46478     513   46222  1392753  29.97
1872-1879       35      0.01134  0.01128  0.50   45965     519   45706  1346532  29.29
1872-1879       36      0.01149  0.01142  0.50   45446     519   45187  1300826  28.62
1872-1879       37      0.01177  0.01170  0.50   44927     526   44664  1255639  27.95
1872-1879       38      0.01227  0.01220  0.50   44402     542   44131  1210975  27.27
1872-1879       39      0.01288  0.01280  0.50   43860     561   43579  1166844  26.60
1872-1879       40      0.01265  0.01257  0.50   43299     544   43027  1123265  25.94
1872-1879       41      0.01257  0.01249  0.50   42754     534   42487  1080238  25.27
1872-1879       42      0.01317  0.01308  0.50   42220     552   41944  1037751  24.58
1872-1879       43      0.01368  0.01358  0.50   41668     566   41385   995807  23.90
1872-1879       44      0.01418  0.01408  0.50   41102     579   40812   954422  23.22
1872-1879       45      0.01425  0.01415  0.50   40523     574   40236   913609  22.55
1872-1879       46      0.01442  0.01432  0.50   39950     572   39664   873373  21.86
1872-1879       47      0.01509  0.01497  0.50   39377     590   39083   833710  21.17
1872-1879       48      0.01630  0.01617  0.50   38788     627   38474   794627  20.49
1872-1879       49      0.01776  0.01760  0.50   38161     672   37825   756153  19.81
1872-1879       50      0.01792  0.01776  0.50   37489     666   37156   718328  19.16
1872-1879       51      0.01825  0.01809  0.50   36823     666   36490   681172  18.50
1872-1879       52      0.01965  0.01946  0.50   36157     704   35805   644681  17.83
1872-1879       53      0.02098  0.02076  0.50   35453     736   35085   608876  17.17
1872-1879       54      0.02220  0.02196  0.50   34717     762   34336   573791  16.53
1872-1879       55      0.02293  0.02267  0.50   33955     770   33570   539455  15.89
1872-1879       56      0.02387  0.02359  0.50   33185     783   32794   505885  15.24
1872-1879       57      0.02567  0.02534  0.50   32402     821   31992   473091  14.60
1872-1879       58      0.02901  0.02860  0.50   31581     903   31129   441099  13.97
1872-1879       59      0.03319  0.03264  0.50   30678    1001   30177   409970  13.36
1872-1879       60      0.03435  0.03377  0.50   29676    1002   29175   379793  12.80
1872-1879       61      0.03591  0.03527  0.50   28674    1011   28169   350617  12.23
1872-1879       62      0.04042  0.03962  0.50   27663    1096   27115   322449  11.66
1872-1879       63      0.04468  0.04371  0.50   26567    1161   25986   295334  11.12
1872-1879       64      0.04903  0.04786  0.50   25406    1216   24798   269347  10.60
1872-1879       65      0.05237  0.05103  0.50   24190    1234   23573   244550  10.11
1872-1879       66      0.05589  0.05437  0.50   22955    1248   22331   220977   9.63
1872-1879       67      0.06094  0.05913  0.50   21707    1284   21065   198646   9.15
1872-1879       68      0.06952  0.06718  0.50   20424    1372   19737   177580   8.69
1872-1879       69      0.07892  0.07593  0.50   19051    1446   18328   157843   8.29
1872-1879       70      0.08074  0.07761  0.50   17605    1366   16922   139515   7.92
1872-1879       71      0.08228  0.07903  0.50   16239    1283   15597   122593   7.55
1872-1879       72      0.08910  0.08530  0.50   14955    1276   14317   106996   7.15
1872-1879       73      0.09630  0.09188  0.50   13680    1257   13051    92678   6.77
1872-1879       74      0.10341  0.09832  0.50   12423    1221   11812    79627   6.41
1872-1879       75      0.11661  0.11019  0.50   11201    1234   10584    67815   6.05
1872-1879       76      0.12360  0.11641  0.50    9967    1160    9387    57231   5.74
1872-1879       77      0.13387  0.12547  0.50    8807    1105    8254    47844   5.43
1872-1879       78      0.15613  0.14483  0.50    7702    1115    7144    39590   5.14
1872-1879       79      0.18874  0.17247  0.50    6586    1136    6018    32446   4.93
1872-1879       80      0.16027  0.14838  0.50    5450     809    5046    26427   4.85
1872-1879       81      0.17234  0.15867  0.50    4642     736    4273    21381   4.61
1872-1879       82      0.18467  0.16906  0.50    3905     660    3575    17107   4.38
1872-1879       83      0.19717  0.17948  0.50    3245     582    2954    13532   4.17
1872-1879       84      0.20966  0.18977  0.50    2663     505    2410    10579   3.97
1872-1879       85      0.22252  0.20024  0.50    2157     432    1941     8169   3.79
1872-1879       86      0.23662  0.21159  0.50    1725     365    1543     6227   3.61
1872-1879       87      0.25152  0.22342  0.50    1360     304    1208     4684   3.44
1872-1879       88      0.26580  0.23462  0.50    1056     248     932     3476   3.29
1872-1879       89      0.27976  0.24543  0.50     809     198     709     2544   3.15
1872-1879       90      0.29441  0.25663  0.50     610     157     532     1834   3.01
1872-1879       91      0.31010  0.26847  0.50     454     122     393     1303   2.87
1872-1879       92      0.32716  0.28116  0.50     332      93     285      910   2.74
1872-1879       93      0.34561  0.29469  0.50     238      70     203      625   2.62
1872-1879       94      0.36483  0.30855  0.50     168      52     142      421   2.51
1872-1879       95      0.38442  0.32245  0.50     116      38      98      279   2.40
1872-1879       96      0.40292  0.33536  0.50      79      26      66      182   2.30
1872-1879       97      0.42166  0.34824  0.50      52      18      43      116   2.22
1872-1879       98      0.44060  0.36106  0.50      34      12      28       73   2.13
1872-1879       99      0.45967  0.37376  0.50      22       8      18       45   2.05
1872-1879      100      0.47882  0.38633  0.50      14       5      11       27   1.98
1872-1879      101      0.49800  0.39872  0.50       8       3       7       16   1.91
1872-1879      102      0.51714  0.41090  0.50       5       2       4        9   1.85
1872-1879      103      0.53620  0.42284  0.50       3       1       2        5   1.79
1872-1879      104      0.55513  0.43452  0.50       2       1       1        3   1.74
1872-1879      105      0.57386  0.44591  0.50       1       0       1        2   1.68
1872-1879      106      0.59235  0.45700  0.50       1       0       0        1   1.64
1872-1879      107      0.61056  0.46776  0.50       0       0       0        0   1.60
1872-1879      108      0.62843  0.47818  0.50       0       0       0        0   1.56
1872-1879      109      0.64595  0.48825  0.50       0       0       0        0   1.53
1872-1879      110+     0.66306  1.00000  1.51       0       0       0        0   1.51
1880-1889        0      0.22956  0.19801  0.31  100000   19801   86259  3585243  35.85
1880-1889        1      0.09367  0.08948  0.50   80199    7176   76611  3498984  43.63
1880-1889        2      0.06391  0.06193  0.50   73022    4523   70761  3422373  46.87
1880-1889        3      0.04262  0.04173  0.50   68500    2859   67071  3351612  48.93
1880-1889        4      0.02871  0.02830  0.50   65641    1858   64712  3284542  50.04
1880-1889        5      0.02057  0.02036  0.50   63784    1298   63134  3219829  50.48
1880-1889        6      0.01481  0.01470  0.50   62485     919   62026  3156695  50.52
1880-1889        7      0.01016  0.01011  0.50   61567     623   61255  3094669  50.27
1880-1889        8      0.00693  0.00690  0.50   60944     421   60734  3033414  49.77
1880-1889        9      0.00537  0.00535  0.50   60523     324   60361  2972680  49.12
1880-1889       10      0.00509  0.00507  0.50   60199     305   60047  2912319  48.38
1880-1889       11      0.00513  0.00512  0.50   59894     307   59741  2852272  47.62
1880-1889       12      0.00534  0.00533  0.50   59587     318   59429  2792532  46.86
1880-1889       13      0.00540  0.00539  0.50   59270     319   59110  2733103  46.11
1880-1889       14      0.00559  0.00557  0.50   58950     329   58786  2673993  45.36
1880-1889       15      0.00564  0.00562  0.50   58622     330   58457  2615207  44.61
1880-1889       16      0.00585  0.00584  0.50   58292     340   58122  2556750  43.86
1880-1889       17      0.00628  0.00626  0.50   57952     363   57771  2498627  43.12
1880-1889       18      0.00686  0.00683  0.50   57589     393   57392  2440857  42.38
1880-1889       19      0.00730  0.00727  0.50   57196     416   56988  2383464  41.67
1880-1889       20      0.00812  0.00808  0.50   56780     459   56550  2326476  40.97
1880-1889       21      0.00868  0.00864  0.50   56321     487   56078  2269926  40.30
1880-1889       22      0.00921  0.00917  0.50   55834     512   55578  2213848  39.65
1880-1889       23      0.00925  0.00921  0.50   55323     510   55068  2158270  39.01
1880-1889       24      0.00918  0.00914  0.50   54813     501   54563  2103202  38.37
1880-1889       25      0.00888  0.00884  0.50   54312     480   54072  2048640  37.72
1880-1889       26      0.00869  0.00865  0.50   53832     466   53599  1994567  37.05
1880-1889       27      0.00852  0.00848  0.50   53367     453   53140  1940968  36.37
1880-1889       28      0.00850  0.00846  0.50   52914     448   52690  1887828  35.68
1880-1889       29      0.00823  0.00819  0.50   52466     430   52251  1835138  34.98
1880-1889       30      0.00914  0.00910  0.50   52036     474   51800  1782886  34.26
1880-1889       31      0.00856  0.00853  0.50   51563     440   51343  1731087  33.57
1880-1889       32      0.00913  0.00909  0.50   51123     465   50891  1679744  32.86
1880-1889       33      0.00933  0.00929  0.50   50658     471   50423  1628853  32.15
1880-1889       34      0.00926  0.00922  0.50   50188     463   49957  1578430  31.45
1880-1889       35      0.00956  0.00951  0.50   49725     473   49489  1528473  30.74
1880-1889       36      0.00967  0.00962  0.50   49252     474   49015  1478985  30.03
1880-1889       37      0.00967  0.00962  0.50   48779     469   48544  1429969  29.32
1880-1889       38      0.01006  0.01001  0.50   48309     483   48068  1381425  28.60
1880-1889       39      0.01002  0.00997  0.50   47826     477   47587  1333358  27.88
1880-1889       40      0.01200  0.01193  0.50   47349     565   47067  1285770  27.16
1880-1889       41      0.01067  0.01061  0.50   46784     496   46536  1238704  26.48
1880-1889       42      0.01150  0.01143  0.50   46288     529   46023  1192168  25.76
1880-1889       43      0.01152  0.01145  0.50   45758     524   45496  1146145  25.05
1880-1889       44      0.01177  0.01171  0.50   45234     529   44970  1100648  24.33
1880-1889       45      0.01223  0.01215  0.50   44705     543   44433  1055679  23.61
1880-1889       46      0.01218  0.01210  0.50   44162     534   43894  1011245  22.90
1880-1889       47      0.01241  0.01233  0.50   43627     538   43358   967351  22.17
1880-1889       48      0.01313  0.01305  0.50   43089     562   42808   923993  21.44
1880-1889       49      0.01358  0.01349  0.50   42527     574   42240   881185  20.72
1880-1889       50      0.01752  0.01737  0.50   41953     729   41589   838944  20.00
1880-1889       51      0.01587  0.01574  0.50   41225     649   40900   797355  19.34
1880-1889       52      0.01767  0.01752  0.50   40576     711   40220   756455  18.64
1880-1889       53      0.01841  0.01824  0.50   39865     727   39501   716235  17.97
1880-1889       54      0.01931  0.01913  0.50   39138     749   38763   676733  17.29
1880-1889       55      0.02000  0.01980  0.50   38389     760   38009   637970  16.62
1880-1889       56      0.02115  0.02093  0.50   37629     787   37235   599961  15.94
1880-1889       57      0.02165  0.02142  0.50   36842     789   36447   562726  15.27
1880-1889       58      0.02349  0.02321  0.50   36052     837   35634   526279  14.60
1880-1889       59      0.02519  0.02488  0.50   35216     876   34777   490645  13.93
1880-1889       60      0.03487  0.03427  0.50   34339    1177   33751   455867  13.28
1880-1889       61      0.03172  0.03122  0.50   33162    1035   32645   422116  12.73
1880-1889       62      0.03667  0.03601  0.50   32127    1157   31549   389472  12.12
1880-1889       63      0.04069  0.03988  0.50   30970    1235   30353   357923  11.56
1880-1889       64      0.04545  0.04444  0.50   29735    1321   29074   327571  11.02
1880-1889       65      0.04934  0.04815  0.50   28414    1368   27730   298496  10.51
1880-1889       66      0.05200  0.05068  0.50   27046    1371   26360   270766  10.01
