Lithuania, Life tables (period 1x10), Total	Last modified: 29 Jan 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1960-1969        0      0.02916  0.02845  0.14  100000    2845   97552  7106423  71.06
1960-1969        1      0.00251  0.00251  0.50   97155     244   97033  7008871  72.14
1960-1969        2      0.00147  0.00147  0.50   96911     142   96840  6911837  71.32
1960-1969        3      0.00096  0.00096  0.50   96769      93   96723  6814997  70.43
1960-1969        4      0.00085  0.00085  0.50   96676      82   96635  6718274  69.49
1960-1969        5      0.00068  0.00068  0.50   96595      65   96562  6621639  68.55
1960-1969        6      0.00068  0.00068  0.50   96529      65   96497  6525077  67.60
1960-1969        7      0.00058  0.00058  0.50   96464      56   96436  6428581  66.64
1960-1969        8      0.00058  0.00058  0.50   96407      56   96379  6332145  65.68
1960-1969        9      0.00052  0.00052  0.50   96351      50   96326  6235766  64.72
1960-1969       10      0.00057  0.00057  0.50   96301      54   96274  6139440  63.75
1960-1969       11      0.00051  0.00051  0.50   96247      49   96222  6043166  62.79
1960-1969       12      0.00054  0.00054  0.50   96197      52   96171  5946944  61.82
1960-1969       13      0.00046  0.00046  0.50   96145      44   96123  5850773  60.85
1960-1969       14      0.00054  0.00054  0.50   96101      52   96075  5754650  59.88
1960-1969       15      0.00068  0.00068  0.50   96049      65   96017  5658575  58.91
1960-1969       16      0.00088  0.00088  0.50   95984      84   95942  5562558  57.95
1960-1969       17      0.00096  0.00096  0.50   95900      92   95854  5466616  57.00
1960-1969       18      0.00118  0.00118  0.50   95808     113   95752  5370762  56.06
1960-1969       19      0.00130  0.00130  0.50   95695     125   95633  5275010  55.12
1960-1969       20      0.00136  0.00136  0.50   95570     130   95506  5179378  54.19
1960-1969       21      0.00125  0.00125  0.50   95441     119   95381  5083872  53.27
1960-1969       22      0.00137  0.00137  0.50   95322     130   95256  4988491  52.33
1960-1969       23      0.00161  0.00161  0.50   95191     153   95115  4893235  51.40
1960-1969       24      0.00168  0.00168  0.50   95038     159   94959  4798120  50.49
1960-1969       25      0.00185  0.00185  0.50   94879     175   94791  4703161  49.57
1960-1969       26      0.00179  0.00179  0.50   94704     169   94619  4608370  48.66
1960-1969       27      0.00183  0.00182  0.50   94534     173   94448  4513751  47.75
1960-1969       28      0.00183  0.00183  0.50   94362     172   94276  4419303  46.83
1960-1969       29      0.00191  0.00190  0.50   94189     179   94100  4325027  45.92
1960-1969       30      0.00212  0.00212  0.50   94010     199   93911  4230927  45.01
1960-1969       31      0.00201  0.00201  0.50   93811     188   93717  4137017  44.10
1960-1969       32      0.00215  0.00215  0.50   93623     201   93522  4043300  43.19
1960-1969       33      0.00216  0.00216  0.50   93421     201   93321  3949778  42.28
1960-1969       34      0.00243  0.00243  0.50   93220     226   93107  3856458  41.37
1960-1969       35      0.00258  0.00258  0.50   92994     240   92874  3763351  40.47
1960-1969       36      0.00258  0.00257  0.50   92754     239   92635  3670477  39.57
1960-1969       37      0.00273  0.00273  0.50   92515     252   92389  3577842  38.67
1960-1969       38      0.00278  0.00277  0.50   92263     256   92135  3485453  37.78
1960-1969       39      0.00278  0.00277  0.50   92007     255   91880  3393318  36.88
1960-1969       40      0.00338  0.00338  0.50   91752     310   91597  3301438  35.98
1960-1969       41      0.00328  0.00328  0.50   91443     300   91293  3209840  35.10
1960-1969       42      0.00359  0.00358  0.50   91143     327   90979  3118548  34.22
1960-1969       43      0.00351  0.00350  0.50   90816     318   90657  3027568  33.34
1960-1969       44      0.00376  0.00375  0.50   90498     340   90328  2936911  32.45
1960-1969       45      0.00436  0.00435  0.50   90158     392   89962  2846583  31.57
1960-1969       46      0.00453  0.00452  0.50   89766     406   89563  2756621  30.71
1960-1969       47      0.00482  0.00481  0.50   89360     430   89145  2667058  29.85
1960-1969       48      0.00517  0.00515  0.50   88931     458   88701  2577912  28.99
1960-1969       49      0.00534  0.00533  0.50   88472     471   88237  2489211  28.14
1960-1969       50      0.00669  0.00667  0.50   88001     587   87708  2400974  27.28
1960-1969       51      0.00613  0.00612  0.50   87414     535   87147  2313266  26.46
1960-1969       52      0.00716  0.00713  0.50   86880     620   86570  2226119  25.62
1960-1969       53      0.00702  0.00700  0.50   86260     603   85959  2139549  24.80
1960-1969       54      0.00818  0.00815  0.50   85657     698   85308  2053590  23.97
1960-1969       55      0.00867  0.00863  0.50   84959     733   84592  1968282  23.17
1960-1969       56      0.00925  0.00921  0.50   84226     775   83838  1883690  22.36
1960-1969       57      0.01008  0.01003  0.50   83450     837   83032  1799852  21.57
1960-1969       58      0.01122  0.01116  0.50   82613     922   82152  1716820  20.78
1960-1969       59      0.01187  0.01180  0.50   81691     964   81209  1634668  20.01
1960-1969       60      0.01544  0.01533  0.50   80727    1237   80109  1553459  19.24
1960-1969       61      0.01430  0.01420  0.50   79490    1129   78926  1473350  18.54
1960-1969       62      0.01690  0.01676  0.50   78361    1313   77705  1394425  17.79
1960-1969       63      0.01826  0.01809  0.50   77048    1394   76351  1316720  17.09
1960-1969       64      0.01967  0.01948  0.50   75654    1474   74917  1240369  16.40
1960-1969       65      0.02251  0.02226  0.50   74180    1651   73354  1165453  15.71
1960-1969       66      0.02273  0.02248  0.50   72529    1630   71714  1092098  15.06
1960-1969       67      0.02562  0.02529  0.50   70899    1793   70002  1020384  14.39
1960-1969       68      0.02777  0.02739  0.50   69105    1893   68159   950382  13.75
1960-1969       69      0.02740  0.02703  0.50   67212    1817   66304   882224  13.13
1960-1969       70      0.03714  0.03646  0.50   65395    2384   64203   815920  12.48
