Belgium, Life tables (period 1x5), Total	Last modified: 25 Sep 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1841-1844        0      0.16641  0.14917  0.31  100000   14917   89644  4032485  40.32
1841-1844        1      0.07444  0.07177  0.50   85083    6106   82030  3942842  46.34
1841-1844        2      0.03990  0.03912  0.50   78977    3089   77432  3860812  48.89
1841-1844        3      0.02553  0.02521  0.50   75887    1913   74931  3783380  49.86
1841-1844        4      0.01792  0.01776  0.50   73974    1314   73317  3708449  50.13
1841-1844        5      0.01352  0.01343  0.50   72661     976   72173  3635132  50.03
1841-1844        6      0.01119  0.01113  0.50   71685     798   71286  3562959  49.70
1841-1844        7      0.00973  0.00968  0.50   70887     686   70544  3491673  49.26
1841-1844        8      0.00865  0.00861  0.50   70201     605   69898  3421130  48.73
1841-1844        9      0.00827  0.00824  0.50   69596     573   69309  3351231  48.15
1841-1844       10      0.00725  0.00722  0.50   69023     498   68773  3281922  47.55
1841-1844       11      0.00631  0.00629  0.50   68524     431   68309  3213149  46.89
1841-1844       12      0.00581  0.00579  0.50   68093     395   67896  3144840  46.18
1841-1844       13      0.00581  0.00579  0.50   67699     392   67503  3076944  45.45
1841-1844       14      0.00624  0.00622  0.50   67307     419   67098  3009441  44.71
1841-1844       15      0.00698  0.00695  0.50   66888     465   66656  2942344  43.99
1841-1844       16      0.00763  0.00761  0.50   66423     505   66171  2875688  43.29
1841-1844       17      0.00809  0.00806  0.50   65918     531   65652  2809517  42.62
1841-1844       18      0.00849  0.00846  0.50   65387     553   65110  2743865  41.96
1841-1844       19      0.00892  0.00888  0.50   64834     576   64546  2678755  41.32
1841-1844       20      0.00939  0.00935  0.50   64258     601   63958  2614209  40.68
1841-1844       21      0.00986  0.00981  0.50   63657     625   63345  2550251  40.06
1841-1844       22      0.01026  0.01020  0.50   63033     643   62711  2486906  39.45
1841-1844       23      0.01061  0.01055  0.50   62390     658   62061  2424195  38.86
1841-1844       24      0.01050  0.01045  0.50   61731     645   61409  2362134  38.26
1841-1844       25      0.01005  0.01000  0.50   61087     611   60781  2300725  37.66
1841-1844       26      0.00975  0.00970  0.50   60476     587   60182  2239944  37.04
1841-1844       27      0.00938  0.00934  0.50   59889     559   59609  2179762  36.40
1841-1844       28      0.00937  0.00933  0.50   59329     553   59053  2120153  35.74
1841-1844       29      0.00951  0.00946  0.50   58776     556   58498  2061100  35.07
1841-1844       30      0.00950  0.00946  0.50   58220     551   57944  2002602  34.40
1841-1844       31      0.00963  0.00959  0.50   57669     553   57393  1944658  33.72
1841-1844       32      0.00976  0.00971  0.50   57116     555   56839  1887265  33.04
1841-1844       33      0.00988  0.00983  0.50   56562     556   56284  1830426  32.36
1841-1844       34      0.00991  0.00986  0.50   56005     552   55729  1774142  31.68
1841-1844       35      0.00988  0.00983  0.50   55453     545   55181  1718413  30.99
1841-1844       36      0.01014  0.01008  0.50   54908     554   54631  1663233  30.29
1841-1844       37      0.01054  0.01049  0.50   54354     570   54069  1608602  29.59
1841-1844       38      0.01134  0.01128  0.50   53784     607   53481  1554532  28.90
1841-1844       39      0.01204  0.01197  0.50   53178     637   52859  1501052  28.23
1841-1844       40      0.01223  0.01216  0.50   52541     639   52221  1448192  27.56
1841-1844       41      0.01242  0.01234  0.50   51902     641   51582  1395971  26.90
1841-1844       42      0.01254  0.01246  0.50   51261     639   50942  1344389  26.23
1841-1844       43      0.01267  0.01259  0.50   50622     637   50304  1293447  25.55
1841-1844       44      0.01259  0.01251  0.50   49985     625   49672  1243144  24.87
1841-1844       45      0.01230  0.01223  0.50   49360     604   49058  1193471  24.18
1841-1844       46      0.01247  0.01240  0.50   48756     604   48454  1144414  23.47
1841-1844       47      0.01300  0.01291  0.50   48152     622   47841  1095960  22.76
1841-1844       48      0.01423  0.01413  0.50   47530     672   47194  1048119  22.05
1841-1844       49      0.01561  0.01549  0.50   46858     726   46495  1000925  21.36
1841-1844       50      0.01634  0.01621  0.50   46133     748   45759   954429  20.69
1841-1844       51      0.01716  0.01702  0.50   45385     772   44999   908670  20.02
1841-1844       52      0.01810  0.01794  0.50   44613     800   44213   863672  19.36
1841-1844       53      0.01922  0.01904  0.50   43812     834   43395   819459  18.70
1841-1844       54      0.01982  0.01962  0.50   42978     843   42557   776064  18.06
1841-1844       55      0.02001  0.01981  0.50   42135     835   41717   733507  17.41
1841-1844       56      0.02097  0.02075  0.50   41300     857   40871   691790  16.75
1841-1844       57      0.02223  0.02199  0.50   40443     889   39998   650918  16.09
1841-1844       58      0.02468  0.02438  0.50   39554     964   39072   610920  15.45
1841-1844       59      0.02759  0.02721  0.50   38589    1050   38064   571848  14.82
1841-1844       60      0.02932  0.02890  0.50   37539    1085   36997   533784  14.22
1841-1844       61      0.03116  0.03068  0.50   36454    1118   35895   496787  13.63
1841-1844       62      0.03353  0.03298  0.50   35336    1165   34753   460892  13.04
1841-1844       63      0.03644  0.03579  0.50   34171    1223   33559   426139  12.47
1841-1844       64      0.03917  0.03842  0.50   32948    1266   32315   392579  11.92
1841-1844       65      0.04185  0.04099  0.50   31682    1299   31033   360264  11.37
1841-1844       66      0.04537  0.04437  0.50   30383    1348   29709   329232  10.84
1841-1844       67      0.04911  0.04793  0.50   29035    1392   28339   299523  10.32
1841-1844       68      0.05494  0.05347  0.50   27644    1478   26905   271183   9.81
1841-1844       69      0.06098  0.05917  0.50   26165    1548   25391   244278   9.34
1841-1844       70      0.06480  0.06277  0.50   24617    1545   23845   218887   8.89
1841-1844       71      0.06944  0.06711  0.50   23072    1548   22298   195042   8.45
1841-1844       72      0.07444  0.07177  0.50   21524    1545   20751   172745   8.03
1841-1844       73      0.08059  0.07747  0.50   19979    1548   19205   151993   7.61
1841-1844       74      0.08697  0.08335  0.50   18431    1536   17663   132788   7.20
1841-1844       75      0.09269  0.08859  0.50   16895    1497   16147   115125   6.81
1841-1844       76      0.10042  0.09562  0.50   15398    1472   14662    98978   6.43
1841-1844       77      0.10866  0.10306  0.50   13926    1435   13208    84316   6.05
1841-1844       78      0.11996  0.11317  0.50   12491    1414   11784    71108   5.69
1841-1844       79      0.13240  0.12418  0.50   11077    1376   10389    59324   5.36
1841-1844       80      0.14560  0.13572  0.50    9702    1317    9043    48935   5.04
1841-1844       81      0.15902  0.14730  0.50    8385    1235    7767    39892   4.76
1841-1844       82      0.17364  0.15977  0.50    7150    1142    6579    32124   4.49
1841-1844       83      0.18896  0.17265  0.50    6007    1037    5489    25546   4.25
1841-1844       84      0.20398  0.18510  0.50    4970     920    4510    20057   4.04
1841-1844       85      0.21779  0.19640  0.50    4050     795    3653    15547   3.84
1841-1844       86      0.23159  0.20756  0.50    3255     676    2917    11894   3.65
1841-1844       87      0.24614  0.21917  0.50    2579     565    2297     8977   3.48
1841-1844       88      0.26152  0.23128  0.50    2014     466    1781     6680   3.32
1841-1844       89      0.27741  0.24362  0.50    1548     377    1360     4899   3.16
1841-1844       90      0.29345  0.25590  0.50    1171     300    1021     3540   3.02
1841-1844       91      0.30767  0.26665  0.50     871     232     755     2519   2.89
1841-1844       92      0.31894  0.27507  0.50     639     176     551     1764   2.76
1841-1844       93      0.32763  0.28151  0.50     463     130     398     1212   2.62
1841-1844       94      0.37232  0.31389  0.50     333     104     281      814   2.45
1841-1844       95      0.39284  0.32834  0.50     228      75     191      534   2.34
1841-1844       96      0.41373  0.34282  0.50     153      53     127      343   2.24
1841-1844       97      0.43494  0.35725  0.50     101      36      83      216   2.14
1841-1844       98      0.45638  0.37159  0.50      65      24      53      133   2.05
1841-1844       99      0.47798  0.38579  0.50      41      16      33       80   1.97
1841-1844      100      0.49967  0.39979  0.50      25      10      20       47   1.90
1841-1844      101      0.52134  0.41354  0.50      15       6      12       27   1.83
1841-1844      102      0.54294  0.42702  0.50       9       4       7       16   1.76
1841-1844      103      0.56437  0.44016  0.50       5       2       4        9   1.70
1841-1844      104      0.58556  0.45295  0.50       3       1       2        5   1.65
1841-1844      105      0.60644  0.46534  0.50       2       1       1        2   1.60
1841-1844      106      0.62693  0.47731  0.50       1       0       1        1   1.55
1841-1844      107      0.64697  0.48884  0.50       0       0       0        1   1.51
1841-1844      108      0.66650  0.49991  0.50       0       0       0        0   1.47
1841-1844      109      0.68548  0.51051  0.50       0       0       0        0   1.44
1841-1844      110+     0.70386  1.00000  1.42       0       0       0        0   1.42
1845-1849        0      0.17396  0.15522  0.31  100000   15522   89225  3724098  37.24
1845-1849        1      0.07632  0.07351  0.50   84478    6210   81373  3634873  43.03
1845-1849        2      0.04194  0.04107  0.50   78268    3215   76661  3553500  45.40
1845-1849        3      0.02728  0.02691  0.50   75053    2020   74043  3476839  46.32
1845-1849        4      0.01920  0.01902  0.50   73033    1389   72339  3402796  46.59
1845-1849        5      0.01490  0.01479  0.50   71644    1059   71115  3330457  46.49
1845-1849        6      0.01235  0.01228  0.50   70585     867   70152  3259342  46.18
1845-1849        7      0.01104  0.01098  0.50   69718     765   69336  3189190  45.74
1845-1849        8      0.00998  0.00993  0.50   68953     684   68611  3119855  45.25
1845-1849        9      0.00991  0.00987  0.50   68269     674   67932  3051244  44.69
1845-1849       10      0.00902  0.00898  0.50   67595     607   67292  2983312  44.14
1845-1849       11      0.00806  0.00803  0.50   66988     538   66719  2916020  43.53
1845-1849       12      0.00742  0.00739  0.50   66450     491   66204  2849301  42.88
1845-1849       13      0.00713  0.00710  0.50   65959     468   65725  2783097  42.19
1845-1849       14      0.00722  0.00719  0.50   65490     471   65255  2717372  41.49
1845-1849       15      0.00768  0.00765  0.50   65019     498   64771  2652117  40.79
1845-1849       16      0.00830  0.00827  0.50   64522     533   64255  2587347  40.10
1845-1849       17      0.00903  0.00899  0.50   63989     575   63701  2523091  39.43
1845-1849       18      0.00981  0.00976  0.50   63413     619   63104  2459390  38.78
1845-1849       19      0.01058  0.01052  0.50   62794     661   62464  2396287  38.16
1845-1849       20      0.01127  0.01120  0.50   62134     696   61786  2333823  37.56
1845-1849       21      0.01163  0.01157  0.50   61437     711   61082  2272037  36.98
1845-1849       22      0.01167  0.01160  0.50   60727     705   60375  2210955  36.41
1845-1849       23      0.01152  0.01146  0.50   60022     688   59678  2150581  35.83
1845-1849       24      0.01126  0.01120  0.50   59335     665   59002  2090902  35.24
1845-1849       25      0.01089  0.01083  0.50   58670     635   58352  2031900  34.63
1845-1849       26      0.01069  0.01063  0.50   58035     617   57726  1973547  34.01
1845-1849       27      0.01074  0.01068  0.50   57418     613   57111  1915821  33.37
1845-1849       28      0.01080  0.01074  0.50   56805     610   56500  1858710  32.72
1845-1849       29      0.01095  0.01089  0.50   56194     612   55888  1802210  32.07
1845-1849       30      0.01130  0.01123  0.50   55583     624   55270  1746322  31.42
1845-1849       31      0.01157  0.01150  0.50   54958     632   54642  1691051  30.77
1845-1849       32      0.01178  0.01171  0.50   54326     636   54008  1636409  30.12
1845-1849       33      0.01212  0.01205  0.50   53690     647   53366  1582401  29.47
1845-1849       34      0.01239  0.01231  0.50   53043     653   52716  1529035  28.83
1845-1849       35      0.01262  0.01254  0.50   52390     657   52061  1476319  28.18
1845-1849       36      0.01300  0.01292  0.50   51733     668   51399  1424257  27.53
1845-1849       37      0.01334  0.01325  0.50   51064     677   50726  1372859  26.88
1845-1849       38      0.01357  0.01347  0.50   50388     679   50048  1322133  26.24
1845-1849       39      0.01399  0.01390  0.50   49709     691   49363  1272084  25.59
1845-1849       40      0.01462  0.01451  0.50   49018     711   48662  1222721  24.94
1845-1849       41      0.01523  0.01512  0.50   48307     730   47942  1174059  24.30
1845-1849       42      0.01596  0.01583  0.50   47576     753   47200  1126117  23.67
1845-1849       43      0.01678  0.01664  0.50   46823     779   46434  1078917  23.04
1845-1849       44      0.01723  0.01708  0.50   46044     786   45651  1032483  22.42
1845-1849       45      0.01753  0.01738  0.50   45258     786   44864   986833  21.80
1845-1849       46      0.01804  0.01788  0.50   44471     795   44074   941968  21.18
1845-1849       47      0.01848  0.01832  0.50   43676     800   43276   897894  20.56
1845-1849       48      0.01883  0.01866  0.50   42876     800   42476   854618  19.93
1845-1849       49      0.01960  0.01941  0.50   42077     817   41668   812141  19.30
1845-1849       50      0.02083  0.02062  0.50   41260     851   40834   770473  18.67
1845-1849       51      0.02202  0.02178  0.50   40409     880   39969   729639  18.06
1845-1849       52      0.02336  0.02309  0.50   39529     913   39073   689670  17.45
1845-1849       53      0.02511  0.02480  0.50   38616     958   38138   650597  16.85
1845-1849       54      0.02638  0.02604  0.50   37659     981   37168   612459  16.26
1845-1849       55      0.02690  0.02654  0.50   36678     974   36191   575291  15.68
1845-1849       56      0.02795  0.02757  0.50   35705     984   35212   539100  15.10
1845-1849       57      0.02954  0.02911  0.50   34720    1011   34215   503887  14.51
1845-1849       58      0.03097  0.03050  0.50   33709    1028   33195   469672  13.93
1845-1849       59      0.03303  0.03249  0.50   32681    1062   32150   436477  13.36
1845-1849       60      0.03640  0.03575  0.50   31619    1130   31054   404327  12.79
1845-1849       61      0.03967  0.03890  0.50   30489    1186   29896   373273  12.24
1845-1849       62      0.04269  0.04180  0.50   29303    1225   28691   343377  11.72
1845-1849       63      0.04653  0.04547  0.50   28078    1277   27440   314686  11.21
1845-1849       64      0.04981  0.04859  0.50   26801    1302   26150   287246  10.72
1845-1849       65      0.05182  0.05051  0.50   25499    1288   24855   261096  10.24
1845-1849       66      0.05501  0.05354  0.50   24211    1296   23563   236241   9.76
1845-1849       67      0.05914  0.05744  0.50   22915    1316   22257   212678   9.28
1845-1849       68      0.06319  0.06125  0.50   21599    1323   20937   190421   8.82
1845-1849       69      0.06894  0.06665  0.50   20276    1351   19600   169484   8.36
1845-1849       70      0.07704  0.07418  0.50   18924    1404   18223   149883   7.92
1845-1849       71      0.08463  0.08120  0.50   17521    1423   16809   131661   7.51
1845-1849       72      0.09226  0.08819  0.50   16098    1420   15388   114852   7.13
1845-1849       73      0.10159  0.09668  0.50   14678    1419   13969    99463   6.78
1845-1849       74      0.10892  0.10330  0.50   13259    1370   12574    85495   6.45
1845-1849       75      0.11351  0.10742  0.50   11890    1277   11251    72920   6.13
1845-1849       76      0.11988  0.11310  0.50   10612    1200   10012    61669   5.81
1845-1849       77      0.12741  0.11978  0.50    9412    1127    8848    51657   5.49
1845-1849       78      0.13517  0.12662  0.50    8285    1049    7760    42808   5.17
1845-1849       79      0.14510  0.13528  0.50    7236     979    6746    35048   4.84
1845-1849       80      0.16973  0.15645  0.50    6257     979    5767    28302   4.52
1845-1849       81      0.18439  0.16882  0.50    5278     891    4833    22534   4.27
1845-1849       82      0.20047  0.18221  0.50    4387     799    3987    17702   4.04
1845-1849       83      0.21760  0.19624  0.50    3588     704    3236    13714   3.82
1845-1849       84      0.23431  0.20973  0.50    2884     605    2581    10479   3.63
1845-1849       85      0.24877  0.22125  0.50    2279     504    2027     7898   3.47
1845-1849       86      0.26275  0.23224  0.50    1775     412    1569     5871   3.31
1845-1849       87      0.27711  0.24338  0.50    1362     332    1197     4302   3.16
1845-1849       88      0.29165  0.25453  0.50    1031     262     900     3106   3.01
1845-1849       89      0.30716  0.26626  0.50     768     205     666     2206   2.87
1845-1849       90      0.32586  0.28021  0.50     564     158     485     1540   2.73
1845-1849       91      0.34490  0.29417  0.50     406     119     346     1055   2.60
1845-1849       92      0.36379  0.30780  0.50     286      88     242      709   2.47
1845-1849       93      0.38340  0.32172  0.50     198      64     166      466   2.35
1845-1849       94      0.40873  0.33938  0.50     134      46     112      300   2.23
1845-1849       95      0.43989  0.36058  0.50      89      32      73      188   2.12
1845-1849       96      0.46156  0.37501  0.50      57      21      46      115   2.03
1845-1849       97      0.48333  0.38926  0.50      36      14      29       69   1.95
1845-1849       98      0.50513  0.40328  0.50      22       9      17       41   1.88
1845-1849       99      0.52687  0.41702  0.50      13       5      10       23   1.81
1845-1849      100      0.54848  0.43043  0.50       8       3       6       13   1.75
1845-1849      101      0.56986  0.44350  0.50       4       2       3        7   1.69
1845-1849      102      0.59095  0.45617  0.50       2       1       2        4   1.63
1845-1849      103      0.61168  0.46842  0.50       1       1       1        2   1.58
1845-1849      104      0.63198  0.48023  0.50       1       0       1        1   1.54
1845-1849      105      0.65179  0.49159  0.50       0       0       0        1   1.49
1845-1849      106      0.67107  0.50247  0.50       0       0       0        0   1.46
1845-1849      107      0.68975  0.51287  0.50       0       0       0        0   1.42
1845-1849      108      0.70782  0.52280  0.50       0       0       0        0   1.39
1845-1849      109      0.72523  0.53223  0.50       0       0       0        0   1.36
1845-1849      110+     0.74196  1.00000  1.35       0       0       0        0   1.35
1850-1854        0      0.16191  0.14555  0.31  100000   14555   89895  4141623  41.42
1850-1854        1      0.06547  0.06339  0.50   85445    5416   82737  4051727  47.42
1850-1854        2      0.03555  0.03493  0.50   80029    2795   78631  3968990  49.59
1850-1854        3      0.02389  0.02361  0.50   77233    1824   76322  3890359  50.37
1850-1854        4      0.01713  0.01698  0.50   75410    1281   74770  3814038  50.58
1850-1854        5      0.01300  0.01291  0.50   74129     957   73651  3739268  50.44
1850-1854        6      0.01081  0.01075  0.50   73172     787   72778  3665618  50.10
1850-1854        7      0.00939  0.00934  0.50   72385     676   72047  3592839  49.64
1850-1854        8      0.00833  0.00829  0.50   71709     595   71411  3520792  49.10
1850-1854        9      0.00777  0.00774  0.50   71114     551   70839  3449381  48.50
1850-1854       10      0.00693  0.00690  0.50   70563     487   70320  3378542  47.88
1850-1854       11      0.00622  0.00620  0.50   70076     435   69859  3308222  47.21
1850-1854       12      0.00586  0.00584  0.50   69642     407   69438  3238363  46.50
1850-1854       13      0.00581  0.00579  0.50   69235     401   69035  3168925  45.77
1850-1854       14      0.00607  0.00605  0.50   68834     416   68626  3099891  45.03
1850-1854       15      0.00658  0.00656  0.50   68418     449   68194  3031265  44.31
1850-1854       16      0.00710  0.00707  0.50   67969     481   67729  2963071  43.59
1850-1854       17      0.00757  0.00754  0.50   67488     509   67234  2895342  42.90
1850-1854       18      0.00799  0.00796  0.50   66980     533   66713  2828108  42.22
1850-1854       19      0.00839  0.00835  0.50   66447     555   66169  2761395  41.56
1850-1854       20      0.00879  0.00875  0.50   65892     577   65603  2695226  40.90
1850-1854       21      0.00916  0.00912  0.50   65315     596   65017  2629622  40.26
1850-1854       22      0.00947  0.00942  0.50   64719     610   64414  2564605  39.63
1850-1854       23      0.00961  0.00956  0.50   64109     613   63803  2500191  39.00
1850-1854       24      0.00958  0.00954  0.50   63497     606   63194  2436388  38.37
1850-1854       25      0.00944  0.00939  0.50   62891     591   62596  2373194  37.74
1850-1854       26      0.00923  0.00918  0.50   62300     572   62014  2310598  37.09
1850-1854       27      0.00901  0.00897  0.50   61728     554   61451  2248584  36.43
1850-1854       28      0.00890  0.00886  0.50   61174     542   60903  2187133  35.75
1850-1854       29      0.00889  0.00885  0.50   60632     536   60364  2126230  35.07
1850-1854       30      0.00891  0.00887  0.50   60096     533   59829  2065866  34.38
1850-1854       31      0.00907  0.00903  0.50   59563     538   59294  2006036  33.68
1850-1854       32      0.00936  0.00932  0.50   59025     550   58750  1946743  32.98
1850-1854       33      0.00957  0.00953  0.50   58475     557   58196  1887993  32.29
1850-1854       34      0.00980  0.00975  0.50   57918     565   57635  1829797  31.59
1850-1854       35      0.01015  0.01009  0.50   57353     579   57063  1772161  30.90
1850-1854       36      0.01041  0.01035  0.50   56774     588   56480  1715098  30.21
1850-1854       37      0.01064  0.01058  0.50   56186     594   55889  1658618  29.52
1850-1854       38      0.01095  0.01089  0.50   55592     605   55289  1602729  28.83
1850-1854       39      0.01120  0.01114  0.50   54986     612   54680  1547441  28.14
1850-1854       40      0.01142  0.01136  0.50   54374     618   54065  1492761  27.45
1850-1854       41      0.01169  0.01162  0.50   53756     625   53444  1438696  26.76
1850-1854       42      0.01184  0.01177  0.50   53131     625   52819  1385252  26.07
1850-1854       43      0.01186  0.01179  0.50   52506     619   52197  1332433  25.38
1850-1854       44      0.01197  0.01190  0.50   51887     617   51578  1280237  24.67
1850-1854       45      0.01219  0.01212  0.50   51270     621   50959  1228658  23.96
1850-1854       46      0.01254  0.01246  0.50   50649     631   50333  1177699  23.25
1850-1854       47      0.01318  0.01310  0.50   50017     655   49690  1127366  22.54
1850-1854       48      0.01412  0.01402  0.50   49362     692   49016  1077676  21.83
1850-1854       49      0.01498  0.01487  0.50   48670     724   48309  1028660  21.14
1850-1854       50      0.01593  0.01580  0.50   47947     758   47568   980351  20.45
1850-1854       51      0.01700  0.01685  0.50   47189     795   46791   932783  19.77
1850-1854       52      0.01785  0.01769  0.50   46394     821   45983   885992  19.10
1850-1854       53      0.01835  0.01818  0.50   45573     829   45159   840009  18.43
1850-1854       54      0.01904  0.01886  0.50   44744     844   44322   794850  17.76
1850-1854       55      0.01999  0.01979  0.50   43900     869   43466   750528  17.10
1850-1854       56      0.02101  0.02079  0.50   43031     895   42584   707062  16.43
1850-1854       57      0.02252  0.02227  0.50   42137     938   41667   664478  15.77
1850-1854       58      0.02486  0.02455  0.50   41198    1011   40693   622810  15.12
1850-1854       59      0.02727  0.02691  0.50   40187    1081   39646   582118  14.49
1850-1854       60      0.02952  0.02909  0.50   39106    1138   38537   542472  13.87
1850-1854       61      0.03222  0.03171  0.50   37968    1204   37366   503935  13.27
1850-1854       62      0.03510  0.03450  0.50   36764    1268   36130   466569  12.69
1850-1854       63      0.03729  0.03661  0.50   35496    1300   34846   430439  12.13
1850-1854       64      0.03984  0.03906  0.50   34196    1336   33528   395593  11.57
1850-1854       65      0.04354  0.04261  0.50   32860    1400   32160   362065  11.02
1850-1854       66      0.04713  0.04605  0.50   31460    1449   30736   329904  10.49
1850-1854       67      0.05092  0.04966  0.50   30012    1490   29266   299168   9.97
1850-1854       68      0.05593  0.05441  0.50   28521    1552   27745   269902   9.46
1850-1854       69      0.06067  0.05888  0.50   26969    1588   26175   242157   8.98
1850-1854       70      0.06496  0.06292  0.50   25381    1597   24583   215981   8.51
1850-1854       71      0.07083  0.06841  0.50   23785    1627   22971   191398   8.05
1850-1854       72      0.07733  0.07445  0.50   22157    1650   21333   168427   7.60
1850-1854       73      0.08317  0.07985  0.50   20508    1638   19689   147095   7.17
1850-1854       74      0.09118  0.08721  0.50   18870    1646   18047   127405   6.75
1850-1854       75      0.10212  0.09716  0.50   17225    1674   16388   109358   6.35
