Slovenia, Life tables (period 1x5), Total	Last modified: 01 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1983-1984        0      0.01362  0.01346  0.12  100000    1346   98818  7108539  71.09
1983-1984        1      0.00115  0.00115  0.50   98654     114   98597  7009721  71.05
1983-1984        2      0.00046  0.00046  0.50   98541      46   98518  6911124  70.13
1983-1984        3      0.00055  0.00055  0.50   98495      54   98468  6812606  69.17
1983-1984        4      0.00040  0.00040  0.50   98441      39   98421  6714138  68.21
1983-1984        5      0.00017  0.00017  0.50   98402      16   98393  6615717  67.23
1983-1984        6      0.00037  0.00037  0.50   98385      36   98367  6517324  66.24
1983-1984        7      0.00030  0.00030  0.50   98349      29   98335  6418957  65.27
1983-1984        8      0.00040  0.00040  0.50   98320      40   98300  6320622  64.29
1983-1984        9      0.00021  0.00021  0.50   98280      20   98270  6222322  63.31
1983-1984       10      0.00019  0.00019  0.50   98260      19   98251  6124051  62.32
1983-1984       11      0.00026  0.00026  0.50   98242      26   98229  6025800  61.34
1983-1984       12      0.00023  0.00023  0.50   98216      23   98205  5927571  60.35
1983-1984       13      0.00018  0.00018  0.50   98193      18   98184  5829367  59.37
1983-1984       14      0.00034  0.00034  0.50   98176      34   98159  5731182  58.38
1983-1984       15      0.00036  0.00036  0.50   98142      35   98124  5633024  57.40
1983-1984       16      0.00054  0.00054  0.50   98107      53   98081  5534899  56.42
1983-1984       17      0.00084  0.00084  0.50   98054      82   98013  5436818  55.45
1983-1984       18      0.00091  0.00091  0.50   97972      89   97927  5338805  54.49
1983-1984       19      0.00074  0.00074  0.50   97883      72   97847  5240878  53.54
1983-1984       20      0.00097  0.00097  0.50   97811      95   97763  5143031  52.58
1983-1984       21      0.00106  0.00106  0.50   97716     104   97664  5045267  51.63
1983-1984       22      0.00120  0.00120  0.50   97612     117   97553  4947603  50.69
1983-1984       23      0.00102  0.00102  0.50   97495      99   97445  4850050  49.75
1983-1984       24      0.00096  0.00096  0.50   97396      94   97349  4752605  48.80
1983-1984       25      0.00136  0.00136  0.50   97302     132   97236  4655256  47.84
1983-1984       26      0.00111  0.00110  0.50   97170     107   97116  4558021  46.91
1983-1984       27      0.00121  0.00121  0.50   97062     117   97004  4460905  45.96
1983-1984       28      0.00112  0.00112  0.50   96945     109   96891  4363902  45.01
1983-1984       29      0.00130  0.00130  0.50   96836     126   96773  4267011  44.06
1983-1984       30      0.00126  0.00126  0.50   96710     122   96649  4170238  43.12
1983-1984       31      0.00147  0.00146  0.50   96589     141   96518  4073588  42.17
1983-1984       32      0.00174  0.00174  0.50   96447     168   96363  3977071  41.24
1983-1984       33      0.00161  0.00161  0.50   96279     155   96202  3880708  40.31
1983-1984       34      0.00174  0.00174  0.50   96124     167   96041  3784506  39.37
1983-1984       35      0.00215  0.00214  0.50   95957     206   95854  3688465  38.44
1983-1984       36      0.00203  0.00203  0.50   95751     194   95654  3592611  37.52
1983-1984       37      0.00223  0.00222  0.50   95557     212   95451  3496957  36.60
1983-1984       38      0.00205  0.00205  0.50   95344     196   95247  3401506  35.68
1983-1984       39      0.00302  0.00302  0.50   95149     287   95005  3306259  34.75
1983-1984       40      0.00293  0.00292  0.50   94862     277   94723  3211254  33.85
1983-1984       41      0.00294  0.00294  0.50   94585     278   94446  3116531  32.95
1983-1984       42      0.00373  0.00372  0.50   94307     351   94131  3022085  32.05
