Belarus, Life tables (period 5x1), Total	Last modified: 02 Apr 2020;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.04908  0.04724  0.21  100000    4724   96267  6905773  69.06
  1959         1-4      0.00277  0.01101  1.23   95276    1049  378202  6809506  71.47
  1959         5-9      0.00086  0.00429  2.37   94227     405  470071  6431304  68.25
  1959        10-14     0.00081  0.00405  2.47   93822     380  468151  5961233  63.54
  1959        15-19     0.00100  0.00499  2.75   93443     467  466162  5493082  58.79
  1959        20-24     0.00153  0.00762  2.63   92976     709  463202  5026920  54.07
  1959        25-29     0.00175  0.00871  2.50   92267     804  459329  4563719  49.46
  1959        30-34     0.00228  0.01131  2.51   91464    1035  454744  4104390  44.87
  1959        35-39     0.00285  0.01417  2.58   90429    1281  449041  3649646  40.36
  1959        40-44     0.00332  0.01644  2.50   89148    1465  442077  3200605  35.90
  1959        45-49     0.00483  0.02387  2.58   87682    2093  433353  2758528  31.46
  1959        50-54     0.00726  0.03569  2.58   85589    3055  420562  2325175  27.17
  1959        55-59     0.01014  0.04953  2.63   82534    4088  403001  1904612  23.08
  1959        60-64     0.01722  0.08268  2.60   78446    6486  376647  1501612  19.14
  1959        65-69     0.02338  0.11062  2.58   71960    7960  340508  1124965  15.63
  1959        70-74     0.04141  0.18861  2.64   64000   12071  291487   784457  12.26
  1959        75-79     0.06403  0.27657  2.54   51929   14362  224293   492970   9.49
  1959        80-84     0.10349  0.40360  2.27   37567   15162  146503   268677   7.15
  1959        85-89     0.15502  0.54396  2.26   22405   12187   78617   122173   5.45
  1959        90-94     0.21831  0.66154  2.02   10218    6759   30962    43556   4.26
  1959        95-99     0.25641  0.73421  2.09    3458    2539    9903    12594   3.64
  1959       100-104    0.32842  0.81926  1.94     919     753    2293     2691   2.93
  1959       105-109    0.41016  0.88397  1.78     166     147     358      398   2.40
  1959       110+       0.47835  1.00000  2.09      19      19      40       40   2.09
  1960           0      0.03581  0.03477  0.16  100000    3477   97089  7185492  71.85
