Estonia, Life tables (period 5x1), Total	Last modified: 21 Jan 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1959           0      0.03200  0.03115  0.15  100000    3115   97351  6866777  68.67
  1959         1-4      0.00144  0.00574  1.39   96885     556  386088  6769426  69.87
  1959         5-9      0.00079  0.00395  2.40   96329     380  480655  6383339  66.27
  1959        10-14     0.00075  0.00375  2.79   95948     360  478948  5902684  61.52
  1959        15-19     0.00129  0.00641  2.68   95589     612  476524  5423736  56.74
  1959        20-24     0.00223  0.01107  2.44   94976    1051  472187  4947212  52.09
  1959        25-29     0.00213  0.01058  2.35   93925     994  466987  4475025  47.64
  1959        30-34     0.00243  0.01207  2.44   92931    1122  461776  4008038  43.13
  1959        35-39     0.00279  0.01384  2.50   91809    1271  455873  3546262  38.63
  1959        40-44     0.00405  0.02004  2.61   90538    1815  448348  3090389  34.13
  1959        45-49     0.00534  0.02637  2.73   88723    2340  438306  2642041  29.78
  1959        50-54     0.00805  0.03948  2.63   86383    3411  423822  2203736  25.51
  1959        55-59     0.01191  0.05791  2.62   82973    4805  403413  1779914  21.45
  1959        60-64     0.01753  0.08425  2.71   78168    6586  375788  1376501  17.61
  1959        65-69     0.02968  0.13896  2.71   71582    9947  335092  1000714  13.98
  1959        70-74     0.04964  0.22179  2.60   61635   13670  275372   665622  10.80
  1959        75-79     0.07950  0.33325  2.57   47965   15984  201053   390250   8.14
  1959        80-84     0.13145  0.49052  2.41   31980   15687  119336   189197   5.92
  1959        85-89     0.20391  0.65352  2.25   16293   10648   52220    69861   4.29
  1959        90-94     0.30024  0.79474  2.04    5645    4487   14943    17641   3.12
  1959        95-99     0.41838  0.89324  1.79    1159    1035    2474     2697   2.33
  1959       100-104    0.54797  0.94821  1.55     124     117     214      224   1.81
  1959       105-109    0.67324  0.97429  1.35       6       6       9        9   1.48
  1959       110+       0.76660  1.00000  1.30       0       0       0        0   1.30
  1960           0      0.03191  0.03107  0.15  100000    3107   97357  6932995  69.33
  1960         1-4      0.00163  0.00648  1.57   96893     628  386050  6835638  70.55
  1960         5-9      0.00080  0.00401  2.66   96265     386  480424  6449588  67.00
  1960        10-14     0.00051  0.00254  2.62   95879     244  478816  5969164  62.26
  1960        15-19     0.00113  0.00561  2.85   95635     537  477024  5490348  57.41
  1960        20-24     0.00168  0.00836  2.64   95098     795  473617  5013324  52.72
  1960        25-29     0.00206  0.01024  2.29   94303     965  468902  4539707  48.14
  1960        30-34     0.00259  0.01285  2.53   93338    1199  463724  4070805  43.61
  1960        35-39     0.00290  0.01440  2.71   92139    1327  457660  3607081  39.15
  1960        40-44     0.00346  0.01716  2.75   90812    1558  450556  3149421  34.68
  1960        45-49     0.00507  0.02506  2.65   89254    2237  441005  2698865  30.24
