Greece, Life tables (period 5x1), Total	Last modified: 08 Nov 2021;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1981           0      0.01388  0.01372  0.12  100000    1372   98794  7572685  75.73
  1981         1-4      0.00047  0.00188  1.78   98628     186  394101  7473890  75.78
  1981         5-9      0.00024  0.00121  2.55   98443     119  491922  7079789  71.92
  1981        10-14     0.00027  0.00136  2.60   98324     134  491297  6587867  67.00
  1981        15-19     0.00058  0.00288  2.63   98190     283  490278  6096570  62.09
  1981        20-24     0.00080  0.00397  2.52   97907     389  488572  5606292  57.26
  1981        25-29     0.00078  0.00391  2.49   97518     382  486633  5117720  52.48
  1981        30-34     0.00083  0.00414  2.54   97137     403  484692  4631087  47.68
  1981        35-39     0.00107  0.00532  2.42   96734     515  482343  4146395  42.86
  1981        40-44     0.00158  0.00789  2.63   96219     759  479296  3664052  38.08
  1981        45-49     0.00256  0.01272  2.67   95460    1214  474468  3184756  33.36
  1981        50-54     0.00441  0.02182  2.64   94246    2056  466379  2710287  28.76
  1981        55-59     0.00723  0.03557  2.63   92190    3279  453187  2243909  24.34
  1981        60-64     0.01265  0.06145  2.66   88911    5463  431763  1790722  20.14
  1981        65-69     0.02015  0.09614  2.62   83448    8023  398175  1358959  16.29
  1981        70-74     0.03491  0.16128  2.64   75425   12165  348462   960784  12.74
  1981        75-79     0.05909  0.25833  2.57   63260   16342  276541   612322   9.68
  1981        80-84     0.10021  0.39897  2.45   46919   18719  186794   335781   7.16
  1981        85-89     0.15778  0.55422  2.32   28199   15629   99054   148987   5.28
  1981        90-94     0.22664  0.68544  2.12   12571    8617   38018    49933   3.97
  1981        95-99     0.31470  0.80870  1.99    3954    3198   10161    11915   3.01
  1981       100-104    0.42108  0.89335  1.78     756     676    1605     1754   2.32
  1981       105-109    0.53591  0.94360  1.57      81      76     142      149   1.85
  1981       110+       0.62963  1.00000  1.59       5       5       7        7   1.59
  1982           0      0.01459  0.01440  0.12  100000    1440   98732  7585210  75.85
  1982         1-4      0.00039  0.00158  1.67   98560     155  393877  7486478  75.96
  1982         5-9      0.00027  0.00135  2.50   98405     133  491691  7092601  72.08
  1982        10-14     0.00027  0.00133  2.68   98272     131  491053  6600910  67.17
  1982        15-19     0.00060  0.00298  2.76   98141     292  490049  6109856  62.26
  1982        20-24     0.00074  0.00370  2.40   97848     362  488301  5619807  57.43
  1982        25-29     0.00077  0.00386  2.52   97487     376  486501  5131506  52.64
  1982        30-34     0.00082  0.00408  2.53   97110     397  484572  4645005  47.83
  1982        35-39     0.00114  0.00569  2.66   96714     550  482284  4160433  43.02
  1982        40-44     0.00158  0.00787  2.72   96164     757  479097  3678149  38.25
  1982        45-49     0.00256  0.01270  2.75   95407    1212  474303  3199052  33.53
  1982        50-54     0.00422  0.02091  2.68   94195    1969  466402  2724749  28.93
  1982        55-59     0.00736  0.03619  2.66   92226    3338  453318  2258347  24.49
  1982        60-64     0.01192  0.05798  2.69   88888    5154  432529  1805029  20.31
  1982        65-69     0.02014  0.09617  2.66   83734    8053  399865  1372500  16.39
  1982        70-74     0.03493  0.16162  2.69   75682   12232  350175   972635  12.85
  1982        75-79     0.05919  0.25980  2.65   63450   16484  278518   622461   9.81
  1982        80-84     0.09668  0.38921  2.50   46966   18280  189074   343942   7.32
  1982        85-89     0.15533  0.55082  2.36   28686   15801  101725   154868   5.40
  1982        90-94     0.21590  0.67134  2.18   12885    8650   40066    53143   4.12
  1982        95-99     0.30599  0.79942  2.01    4235    3386   11064    13077   3.09
  1982       100-104    0.41134  0.88746  1.80     849     754    1833     2013   2.37
  1982       105-109    0.52581  0.94032  1.58      96      90     171      180   1.88
  1982       110+       0.61948  1.00000  1.61       6       6       9        9   1.61
  1983           0      0.01434  0.01416  0.12  100000    1416   98753  7566528  75.67
  1983         1-4      0.00043  0.00171  1.63   98584     169  393934  7467775  75.75
  1983         5-9      0.00025  0.00125  2.52   98415     123  491768  7073841  71.88
  1983        10-14     0.00029  0.00146  2.86   98292     143  491152  6582073  66.96
  1983        15-19     0.00069  0.00347  2.89   98148     341  490023  6090920  62.06
  1983        20-24     0.00082  0.00409  2.48   97808     400  488033  5600897  57.26
  1983        25-29     0.00073  0.00362  2.42   97408     353  486131  5112864  52.49
  1983        30-34     0.00084  0.00417  2.53   97056     404  484282  4626734  47.67
  1983        35-39     0.00110  0.00550  2.56   96651     531  481962  4142452  42.86
  1983        40-44     0.00155  0.00774  2.59   96120     744  478802  3660490  38.08
  1983        45-49     0.00253  0.01259  2.70   95376    1201  474119  3181688  33.36
  1983        50-54     0.00425  0.02105  2.68   94175    1982  466270  2707569  28.75
  1983        55-59     0.00733  0.03605  2.70   92193    3324  453325  2241299  24.31
  1983        60-64     0.01196  0.05817  2.68   88869    5169  432369  1787974  20.12
  1983        65-69     0.02018  0.09635  2.66   83700    8064  399648  1355605  16.20
  1983        70-74     0.03447  0.15961  2.69   75636   12072  350261   955956  12.64
  1983        75-79     0.06190  0.26935  2.59   63564   17121  276607   605695   9.53
  1983        80-84     0.10017  0.39997  2.48   46443   18576  185449   329088   7.09
  1983        85-89     0.16329  0.56923  2.34   27867   15863   97145   143639   5.15
  1983        90-94     0.23143  0.69037  2.08   12004    8287   35809    46495   3.87
  1983        95-99     0.33136  0.82614  1.97    3717    3071    9267    10685   2.87
  1983       100-104    0.44643  0.90792  1.73     646     587    1314     1418   2.19
  1983       105-109    0.56815  0.95323  1.51      60      57     100      104   1.75
  1983       110+       0.66565  1.00000  1.50       3       3       4        4   1.50
  1984           0      0.01419  0.01402  0.12  100000    1402   98767  7612703  76.13
  1984         1-4      0.00036  0.00145  1.79   98598     143  394079  7513936  76.21
  1984         5-9      0.00025  0.00124  2.30   98456     122  491947  7119857  72.32
  1984        10-14     0.00021  0.00104  2.71   98333     102  491432  6627910  67.40
  1984        15-19     0.00055  0.00276  2.71   98231     271  490534  6136478  62.47
  1984        20-24     0.00083  0.00414  2.48   97959     405  488775  5645944  57.64
  1984        25-29     0.00075  0.00374  2.55   97554     365  486877  5157170  52.86
  1984        30-34     0.00082  0.00409  2.55   97190     397  484976  4670293  48.05
  1984        35-39     0.00106  0.00531  2.75   96792     514  482804  4185317  43.24
  1984        40-44     0.00165  0.00824  2.61   96279     794  479500  3702513  38.46
  1984        45-49     0.00246  0.01222  2.65   95485    1167  474679  3223013  33.75
  1984        50-54     0.00421  0.02083  2.66   94318    1965  466988  2748334  29.14
  1984        55-59     0.00710  0.03493  2.71   92353    3226  454366  2281347  24.70
  1984        60-64     0.01170  0.05698  2.70   89127    5078  433968  1826981  20.50
  1984        65-69     0.01940  0.09287  2.70   84049    7805  402304  1393014  16.57
  1984        70-74     0.03298  0.15305  2.65   76243   11669  353819   990709  12.99
  1984        75-79     0.05821  0.25524  2.59   64574   16482  283160   636890   9.86
  1984        80-84     0.09615  0.38916  2.55   48092   18716  194661   353730   7.36
  1984        85-89     0.15235  0.54614  2.41   29376   16044  105305   159070   5.41
  1984        90-94     0.22091  0.68201  2.20   13333    9093   41163    53764   4.03
  1984        95-99     0.31886  0.81394  1.99    4240    3451   10822    12602   2.97
  1984       100-104    0.43338  0.90111  1.76     789     711    1640     1779   2.26
  1984       105-109    0.55611  0.95005  1.54      78      74     133      139   1.78
  1984       110+       0.65516  1.00000  1.53       4       4       6        6   1.53
  1985           0      0.01365  0.01349  0.12  100000    1349   98815  7590241  75.90
  1985         1-4      0.00042  0.00168  1.63   98651     166  394212  7491426  75.94
  1985         5-9      0.00021  0.00107  2.50   98486     105  492164  7097214  72.06
  1985        10-14     0.00022  0.00109  2.69   98380     107  491654  6605050  67.14
