New Zealand -- Maori, Life tables (period 5x1), Total	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
  1948           0      0.08107  0.07675  0.31  100000    7675   94670  5250040  52.50
  1948         1-4      0.00951  0.03715  1.44   92325    3430  360505  5155370  55.84
  1948         5-9      0.00310  0.01537  1.95   88896    1366  440316  4794864  53.94
  1948        10-14     0.00458  0.02265  2.62   87530    1982  432924  4354548  49.75
  1948        15-19     0.00562  0.02775  2.83   85547    2374  422585  3921624  45.84
  1948        20-24     0.00710  0.03491  2.58   83173    2904  408851  3499039  42.07
  1948        25-29     0.00640  0.03148  2.46   80269    2527  394928  3090188  38.50
  1948        30-34     0.00494  0.02431  1.91   77742    1890  382863  2695260  34.67
  1948        35-39     0.00801  0.03926  2.43   75853    2978  371614  2312397  30.49
  1948        40-44     0.01142  0.05557  2.57   72875    4049  354523  1940782  26.63
  1948        45-49     0.01128  0.05497  2.68   68825    3783  335342  1586259  23.05
  1948        50-54     0.01983  0.09450  2.51   65042    6147  309926  1250917  19.23
  1948        55-59     0.03442  0.15820  2.44   58895    9317  270663   940991  15.98
  1948        60-64     0.04257  0.19442  2.77   49578    9639  226421   670328  13.52
  1948        65-69     0.05366  0.23389  2.26   39939    9341  174083   443907  11.11
  1948        70-74     0.06804  0.29610  2.81   30598    9060  133147   269824   8.82
  1948        75-79     0.17529  0.60128  2.39   21538   12950   73881   136677   6.35
  1948        80-84     0.10212  0.40493  2.45    8588    3477   34053    62796   7.31
  1948        85-89     0.14795  0.53131  2.35    5110    2715   18351    28743   5.62
  1948        90-94     0.20830  0.65839  2.21    2395    1577    7570    10392   4.34
  1948        95-99     0.27575  0.75962  2.04     818     622    2254     2821   3.45
  1948       100-104    0.33807  0.82532  1.90     197     162     480      568   2.89
  1948       105-109    0.38869  0.86523  1.79      34      30      76       87   2.54
  1948       110+       0.42276  1.00000  2.37       5       5      11       11   2.37
  1949           0      0.09273  0.08712  0.31  100000    8712   93954  5120030  51.20
  1949         1-4      0.01059  0.04123  1.38   91288    3764  355274  5026076  55.06
  1949         5-9      0.00282  0.01399  2.24   87524    1224  434235  4670801  53.37
  1949        10-14     0.00315  0.01561  2.61   86300    1347  428281  4236567  49.09
  1949        15-19     0.00563  0.02780  2.73   84952    2362  419404  3808285  44.83
  1949        20-24     0.00725  0.03567  2.80   82591    2946  406483  3388881  41.03
  1949        25-29     0.00691  0.03390  2.18   79644    2700  390597  2982398  37.45
  1949        30-34     0.00616  0.03041  2.80   76945    2340  379571  2591801  33.68
  1949        35-39     0.00901  0.04402  2.43   74605    3284  364582  2212230  29.65
  1949        40-44     0.01055  0.05121  2.15   71320    3652  346202  1847648  25.91
  1949        45-49     0.02101  0.10007  2.63   67668    6772  322311  1501446  22.19
  1949        50-54     0.01725  0.08310  2.81   60897    5061  293427  1179135  19.36
  1949        55-59     0.03082  0.14169  2.16   55836    7912  256677   885709  15.86
  1949        60-64     0.03800  0.17367  2.53   47925    8323  219047   629032  13.13
  1949        65-69     0.06907  0.29170  2.34   39602   11552  167245   409985  10.35
  1949        70-74     0.08134  0.33050  2.17   28050    9270  113968   242740   8.65
  1949        75-79     0.16921  0.59309  2.48   18779   11138   65822   128772   6.86
  1949        80-84     0.11185  0.43007  2.31    7642    3286   29382    62950   8.24
  1949        85-89     0.12261  0.46014  2.29    4355    2004   16344    33567   7.71
  1949        90-94     0.13247  0.48605  2.26    2351    1143    8627    17223   7.33
  1949        95-99     0.13962  0.50375  2.24    1208     609    4360     8596   7.11
  1949       100-104    0.14270  0.51075  2.22     600     306    2146     4237   7.07
  1949       105-109    0.14155  0.50739  2.21     293     149    1052     2090   7.12
  1949       110+       0.13915  1.00000  7.19     145     145    1039     1039   7.19
  1950           0      0.07714  0.07319  0.30  100000    7319   94881  5425346  54.25
  1950         1-4      0.00754  0.02953  1.19   92681    2737  363030  5330465  57.51
  1950         5-9      0.00280  0.01391  2.41   89944    1251  446477  4967435  55.23
  1950        10-14     0.00214  0.01064  2.29   88693     944  440904  4520958  50.97
  1950        15-19     0.00473  0.02343  2.92   87749    2056  434477  4080054  46.50
  1950        20-24     0.00627  0.03087  2.57   85694    2645  422053  3645577  42.54
  1950        25-29     0.00681  0.03348  2.49   83049    2780  408273  3223524  38.81
  1950        30-34     0.00592  0.02920  2.71   80269    2344  395981  2815250  35.07
  1950        35-39     0.00994  0.04865  2.88   77925    3791  381583  2419269  31.05
  1950        40-44     0.01017  0.04964  2.60   74134    3680  361844  2037686  27.49
  1950        45-49     0.01353  0.06585  2.97   70454    4640  342856  1675842  23.79
  1950        50-54     0.01683  0.08073  2.50   65814    5313  315762  1332986  20.25
  1950        55-59     0.02859  0.13484  2.89   60501    8158  285320  1017224  16.81
  1950        60-64     0.03765  0.17075  2.28   52343    8938  237405   731904  13.98
  1950        65-69     0.05779  0.24902  2.22   43405   10809  187029   494499  11.39
  1950        70-74     0.06580  0.28054  2.38   32597    9145  138987   307470   9.43
  1950        75-79     0.16762  0.55211  1.91   23452   12948   77246   168484   7.18
  1950        80-84     0.09797  0.38878  2.35   10504    4084   41684    91238   8.69
  1950        85-89     0.11027  0.42605  2.33    6420    2735   24805    49554   7.72
  1950        90-94     0.12796  0.47600  2.31    3685    1754   13707    24749   6.72
  1950        95-99     0.15373  0.54156  2.27    1931    1046    6802    11042   5.72
  1950       100-104    0.19008  0.62092  2.21     885     550    2892     4239   4.79
  1950       105-109    0.23830  0.70602  2.11     336     237     994     1348   4.02
  1950       110+       0.27911  1.00000  3.58      99      99     353      353   3.58
  1951           0      0.07433  0.07064  0.30  100000    7064   95041  5549030  55.49
  1951         1-4      0.00585  0.02300  1.17   92936    2138  365691  5453989  58.69
  1951         5-9      0.00232  0.01154  2.19   90798    1048  451041  5088298  56.04
  1951        10-14     0.00168  0.00838  2.37   89750     752  446772  4637257  51.67
