New Zealand, Life tables (period 5x10), Total	Last modified: 06 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1948-1949        0      0.02941  0.02869  0.14  100000    2869   97534  6887771  68.88
1948-1949      1-4      0.00236  0.00939  1.47   97131     912  386219  6790237  69.91
1948-1949      5-9      0.00080  0.00401  2.08   96219     386  479970  6404019  66.56
1948-1949     10-14     0.00089  0.00443  2.59   95834     425  478145  5924048  61.82
1948-1949     15-19     0.00144  0.00715  2.76   95409     682  475516  5445904  57.08
1948-1949     20-24     0.00174  0.00868  2.54   94726     822  471608  4970387  52.47
1948-1949     25-29     0.00168  0.00834  2.45   93904     784  467520  4498779  47.91
1948-1949     30-34     0.00181  0.00901  2.57   93121     839  463566  4031259  43.29
1948-1949     35-39     0.00240  0.01195  2.57   92281    1103  458733  3567693  38.66
1948-1949     40-44     0.00314  0.01557  2.60   91179    1420  452491  3108960  34.10
1948-1949     45-49     0.00525  0.02592  2.69   89759    2327  443415  2656469  29.60
1948-1949     50-54     0.00824  0.04042  2.69   87432    3534  428985  2213055  25.31
1948-1949     55-59     0.01244  0.06047  2.70   83898    5073  407837  1784070  21.26
1948-1949     60-64     0.01997  0.09543  2.68   78825    7523  376644  1376233  17.46
1948-1949     65-69     0.03115  0.14472  2.56   71302   10319  331295   999589  14.02
1948-1949     70-74     0.05034  0.22530  2.67   60984   13739  272912   668295  10.96
1948-1949     75-79     0.08218  0.34275  2.58   47244   16193  197047   395383   8.37
1948-1949     80-84     0.11824  0.45540  2.48   31051   14141  119597   198336   6.39
1948-1949     85-89     0.18677  0.61888  2.28   16910   10466   56035    78739   4.66
1948-1949     90-94     0.26196  0.74567  2.11    6445    4806   18345    22703   3.52
1948-1949     95-99     0.36232  0.85277  1.90    1639    1398    3858     4358   2.66
1948-1949    100-104    0.47486  0.92080  1.68     241     222     468      500   2.07
1948-1949    105-109    0.58932  0.95803  1.48      19      18      31       32   1.69
1948-1949    110+       0.67914  1.00000  1.47       1       1       1        1   1.47
1950-1959        0      0.02595  0.02538  0.13  100000    2538   97787  7017187  70.17
1950-1959      1-4      0.00162  0.00646  1.49   97462     630  388271  6919400  71.00
1950-1959      5-9      0.00059  0.00297  2.32   96833     287  483394  6531129  67.45
1950-1959     10-14     0.00054  0.00271  2.59   96545     262  482096  6047735  62.64
1950-1959     15-19     0.00101  0.00506  2.79   96283     487  480338  5565639  57.80
1950-1959     20-24     0.00138  0.00688  2.47   95796     660  477310  5085301  53.08
1950-1959     25-29     0.00133  0.00661  2.54   95137     629  474134  4607991  48.44
1950-1959     30-34     0.00146  0.00729  2.54   94508     689  470845  4133857  43.74
1950-1959     35-39     0.00203  0.01012  2.64   93819     950  466857  3663012  39.04
1950-1959     40-44     0.00283  0.01405  2.67   92869    1305  461310  3196156  34.42
1950-1959     45-49     0.00484  0.02393  2.71   91565    2191  452801  2734846  29.87
1950-1959     50-54     0.00763  0.03749  2.71   89374    3351  439203  2282045  25.53
1950-1959     55-59     0.01234  0.05998  2.70   86023    5160  418234  1842843  21.42
1950-1959     60-64     0.01943  0.09296  2.68   80864    7517  386887  1424608  17.62
1950-1959     65-69     0.03064  0.14264  2.59   73346   10462  341512  1037721  14.15
1950-1959     70-74     0.04864  0.21816  2.64   62884   13719  282067   696209  11.07
1950-1959     75-79     0.07995  0.33377  2.53   49165   16410  205244   414142   8.42
1950-1959     80-84     0.11815  0.45527  2.48   32755   14912  126215   208899   6.38
1950-1959     85-89     0.18785  0.62120  2.27   17843   11084   59006    82683   4.63
1950-1959     90-94     0.26080  0.74440  2.12    6759    5031   19292    23678   3.50
1950-1959     95-99     0.38055  0.86790  1.87    1728    1499    3940     4386   2.54
1950-1959    100-104    0.50493  0.93387  1.63     228     213     422      446   1.95
1950-1959    105-109    0.63016  0.96714  1.42      15      15      23       24   1.58
1950-1959    110+       0.72673  1.00000  1.38       0       0       1        1   1.38
1960-1969        0      0.01992  0.01958  0.11  100000    1958   98254  7121367  71.21
1960-1969      1-4      0.00113  0.00451  1.54   98042     442  391084  7023113  71.63
1960-1969      5-9      0.00044  0.00218  2.34   97600     213  487437  6632029  67.95
1960-1969     10-14     0.00039  0.00196  2.67   97388     191  486494  6144592  63.09
1960-1969     15-19     0.00088  0.00441  2.81   97197     429  485045  5658098  58.21
1960-1969     20-24     0.00107  0.00534  2.42   96768     517  482510  5173054  53.46
1960-1969     25-29     0.00104  0.00520  2.57   96252     501  480041  4690544  48.73
1960-1969     30-34     0.00130  0.00648  2.67   95751     621  477309  4210503  43.97
1960-1969     35-39     0.00185  0.00919  2.69   95130     875  473636  3733195  39.24
1960-1969     40-44     0.00279  0.01386  2.69   94256    1306  468257  3259559  34.58
1960-1969     45-49     0.00479  0.02370  2.71   92949    2203  459703  2791302  30.03
1960-1969     50-54     0.00750  0.03686  2.71   90746    3345  446074  2331599  25.69
1960-1969     55-59     0.01228  0.05969  2.70   87401    5217  424989  1885525  21.57
1960-1969     60-64     0.01941  0.09284  2.67   82184    7630  393116  1460536  17.77
1960-1969     65-69     0.03012  0.14047  2.60   74554   10472  347664  1067419  14.32
1960-1969     70-74     0.04696  0.21126  2.63   64082   13538  288302   719755  11.23
1960-1969     75-79     0.07742  0.32490  2.53   50544   16422  212116   431454   8.54
1960-1969     80-84     0.11582  0.44847  2.48   34123   15303  132121   219338   6.43
1960-1969     85-89     0.18659  0.61964  2.29   18820   11662   62498    87217   4.63
1960-1969     90-94     0.26543  0.75206  2.12    7158    5383   20282    24719   3.45
1960-1969     95-99     0.38681  0.87284  1.86    1775    1549    4005     4437   2.50
1960-1969    100-104    0.51562  0.93800  1.61     226     212     411      432   1.92
1960-1969    105-109    0.64418  0.96978  1.40      14      14      21       22   1.55
1960-1969    110+       0.74223  1.00000  1.35       0       0       1        1   1.35
1970-1979        0      0.01530  0.01510  0.12  100000    1510   98668  7211968  72.12
1970-1979      1-4      0.00088  0.00350  1.59   98490     345  393132  7113300  72.22
1970-1979      5-9      0.00039  0.00193  2.34   98145     189  490223  6720169  68.47
1970-1979     10-14     0.00037  0.00184  2.76   97956     180  489379  6229945  63.60
1970-1979     15-19     0.00111  0.00555  2.84   97776     543  487711  5740567  58.71
1970-1979     20-24     0.00117  0.00583  2.35   97233     567  484663  5252856  54.02
