France, Total Population, Life tables (period 5x5), Total	Last modified: 12 Aug 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1816-1819        0      0.20580  0.18007  0.31  100000   18007   87500  3879912  38.80
1816-1819      1-4      0.03642  0.13359  1.52   81993   10954  300788  3792412  46.25
1816-1819      5-9      0.01179  0.05705  2.14   71039    4053  343617  3491624  49.15
1816-1819     10-14     0.00569  0.02802  2.36   66986    1877  329980  3148007  46.99
1816-1819     15-19     0.00713  0.03505  2.66   65109    2282  320215  2818027  43.28
1816-1819     20-24     0.00984  0.04802  2.53   62827    3017  306675  2497812  39.76
1816-1819     25-29     0.00943  0.04605  2.45   59810    2754  292028  2191137  36.63
1816-1819     30-34     0.00989  0.04825  2.52   57056    2753  278465  1899109  33.28
1816-1819     35-39     0.01106  0.05383  2.54   54303    2923  264315  1620644  29.84
1816-1819     40-44     0.01320  0.06391  2.54   51380    3284  248831  1356329  26.40
1816-1819     45-49     0.01584  0.07626  2.56   48096    3668  231533  1107498  23.03
1816-1819     50-54     0.02054  0.09776  2.55   44428    4344  211485   875965  19.72
1816-1819     55-59     0.02584  0.12164  2.60   40085    4876  188729   664479  16.58
1816-1819     60-64     0.04018  0.18296  2.56   35209    6442  160324   475750  13.51
1816-1819     65-69     0.05245  0.23222  2.53   28767    6680  127357   315426  10.96
1816-1819     70-74     0.08216  0.34097  2.51   22087    7531   91661   188069   8.52
1816-1819     75-79     0.11697  0.44883  2.41   14556    6533   55851    96409   6.62
1816-1819     80-84     0.18118  0.60776  2.29    8023    4876   26911    40557   5.06
1816-1819     85-89     0.21354  0.65675  2.07    3147    2067    9678    13646   4.34
1816-1819     90-94     0.25349  0.73335  2.13    1080     792    3125     3968   3.67
1816-1819     95-99     0.33078  0.81930  1.92     288     236     713      843   2.93
1816-1819    100-104    0.39381  0.87103  1.80      52      45     115      130   2.49
1816-1819    105-109    0.46041  0.91000  1.68       7       6      13       14   2.15
1816-1819    110+       0.51413  1.00000  1.95       1       1       1        1   1.95
1820-1824        0      0.20866  0.18226  0.31  100000   18226   87349  3935439  39.35
1820-1824      1-4      0.03730  0.13652  1.51   81774   11164  299322  3848090  47.06
1820-1824      5-9      0.01209  0.05843  2.15   70610    4126  341298  3548768  50.26
1820-1824     10-14     0.00536  0.02642  2.30   66484    1757  327673  3207470  48.24
1820-1824     15-19     0.00663  0.03264  2.70   64728    2113  318781  2879797  44.49
1820-1824     20-24     0.00947  0.04627  2.52   62615    2897  305893  2561016  40.90
1820-1824     25-29     0.00883  0.04319  2.45   59718    2579  292021  2255122  37.76
1820-1824     30-34     0.00916  0.04479  2.51   57138    2559  279317  1963102  34.36
1820-1824     35-39     0.01021  0.04981  2.54   54579    2719  266215  1683784  30.85
1820-1824     40-44     0.01204  0.05848  2.53   51861    3033  251820  1417570  27.33
1820-1824     45-49     0.01400  0.06772  2.57   48828    3306  236109  1165750  23.87
1820-1824     50-54     0.01869  0.08938  2.55   45522    4069  217642   929640  20.42
1820-1824     55-59     0.02369  0.11207  2.60   41453    4646  196117   711998  17.18
1820-1824     60-64     0.03634  0.16698  2.58   36807    6146  169145   515881  14.02
1820-1824     65-69     0.04989  0.22221  2.54   30661    6813  136564   346737  11.31
1820-1824     70-74     0.07665  0.32198  2.52   23848    7679  100171   210173   8.81
1820-1824     75-79     0.11009  0.42911  2.43   16169    6938   63024   110001   6.80
1820-1824     80-84     0.17719  0.60045  2.32    9231    5543   31281    46977   5.09
1820-1824     85-89     0.22038  0.66905  2.06    3688    2468   11197    15696   4.26
1820-1824     90-94     0.25098  0.72857  2.12    1221     889    3543     4499   3.69
