New Zealand -- Non-Maori, Life tables (period 5x5), Total	Last modified: 26 Sep 2017;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1901-1904        0      0.08147  0.07711  0.31  100000    7711   94646  5886156  58.86
1901-1904      1-4      0.00650  0.02558  1.43   92289    2361  363097  5791510  62.75
1901-1904      5-9      0.00221  0.01101  2.31   89928     990  446979  5428412  60.36
1901-1904     10-14     0.00174  0.00867  2.60   88938     771  442839  4981433  56.01
1901-1904     15-19     0.00282  0.01401  2.69   88167    1235  437977  4538594  51.48
1901-1904     20-24     0.00382  0.01891  2.57   86932    1644  430661  4100617  47.17
1901-1904     25-29     0.00458  0.02265  2.54   85288    1932  421692  3669956  43.03
1901-1904     30-34     0.00487  0.02407  2.55   83357    2006  411862  3248263  38.97
1901-1904     35-39     0.00631  0.03107  2.58   81351    2527  400646  2836401  34.87
1901-1904     40-44     0.00725  0.03561  2.54   78823    2807  387199  2435755  30.90
1901-1904     45-49     0.00919  0.04496  2.62   76016    3417  371961  2048555  26.95
1901-1904     50-54     0.01343  0.06505  2.60   72599    4723  351650  1676595  23.09
1901-1904     55-59     0.01731  0.08306  2.58   67876    5638  325728  1324945  19.52
1901-1904     60-64     0.02495  0.11775  2.62   62239    7329  293762   999217  16.05
1901-1904     65-69     0.03918  0.17906  2.60   54910    9832  250944   705455  12.85
1901-1904     70-74     0.06187  0.26914  2.59   45078   12132  196094   454511  10.08
1901-1904     75-79     0.09170  0.37580  2.60   32946   12381  135022   258417   7.84
1901-1904     80-84     0.13239  0.49143  2.38   20565   10106   76333   123395   6.00
1901-1904     85-89     0.19333  0.63210  2.26   10459    6611   34194    47061   4.50
1901-1904     90-94     0.27808  0.76718  2.08    3848    2952   10615    12867   3.34
1901-1904     95-99     0.38489  0.87068  1.86     896     780    2026     2252   2.51
1901-1904    100-104    0.50697  0.93451  1.62     116     108     214      226   1.95
1901-1904    105-109    0.63124  0.96734  1.42       8       7      12       12   1.58
1901-1904    110+       0.72795  1.00000  1.37       0       0       0        0   1.37
1905-1909        0      0.07447  0.07078  0.30  100000    7078   95045  6047105  60.47
1905-1909      1-4      0.00549  0.02166  1.37   92922    2013  366390  5952061  64.05
1905-1909      5-9      0.00193  0.00958  2.49   90909     871  452356  5585670  61.44
1905-1909     10-14     0.00164  0.00815  2.50   90038     734  448356  5133315  57.01
1905-1909     15-19     0.00241  0.01201  2.70   89304    1072  444056  4684959  52.46
1905-1909     20-24     0.00352  0.01743  2.59   88232    1538  437458  4240903  48.07
1905-1909     25-29     0.00415  0.02053  2.53   86694    1780  429070  3803445  43.87
1905-1909     30-34     0.00452  0.02237  2.56   84914    1900  419935  3374374  39.74
1905-1909     35-39     0.00565  0.02789  2.56   83014    2315  409422  2954439  35.59
1905-1909     40-44     0.00645  0.03173  2.57   80699    2561  397283  2545017  31.54
1905-1909     45-49     0.00888  0.04345  2.59   78138    3395  382525  2147734  27.49
1905-1909     50-54     0.01137  0.05532  2.60   74743    4135  363779  1765210  23.62
1905-1909     55-59     0.01613  0.07767  2.61   70608    5484  339940  1401431  19.85
1905-1909     60-64     0.02322  0.11003  2.62   65124    7166  308584  1061491  16.30
1905-1909     65-69     0.03765  0.17277  2.62   57958   10014  265965   752907  12.99
1905-1909     70-74     0.05976  0.26109  2.58   47945   12518  209473   486942  10.16
1905-1909     75-79     0.09476  0.38371  2.52   35427   13594  143456   277469   7.83
1905-1909     80-84     0.12764  0.47884  2.39   21833   10455   81909   134012   6.14
1905-1909     85-89     0.18993  0.62461  2.26   11379    7107   37420    52103   4.58
1905-1909     90-94     0.26998  0.75612  2.09    4272    3230   11963    14683   3.44
1905-1909     95-99     0.36975  0.85850  1.88    1042     894    2419     2720   2.61
1905-1909    100-104    0.48161  0.92362  1.66     147     136     283      302   2.05
1905-1909    105-109    0.59449  0.95911  1.47      11      11      18       19   1.67
1905-1909    110+       0.68185  1.00000  1.47       0       0       1        1   1.47
1910-1914        0      0.05958  0.05702  0.25  100000    5702   95707  6189676  61.90
1910-1914      1-4      0.00457  0.01809  1.47   94298    1706  372884  6093969  64.62
1910-1914      5-9      0.00173  0.00862  2.28   92592     798  460791  5721085  61.79
1910-1914     10-14     0.00132  0.00657  2.60   91794     603  457520  5260294  57.31
1910-1914     15-19     0.00233  0.01158  2.69   91191    1056  453509  4802774  52.67
1910-1914     20-24     0.00311  0.01544  2.58   90135    1391  447302  4349264  48.25
1910-1914     25-29     0.00369  0.01828  2.56   88743    1622  439751  3901962  43.97
1910-1914     30-34     0.00435  0.02151  2.58   87121    1874  431065  3462211  39.74
1910-1914     35-39     0.00548  0.02706  2.56   85247    2307  420607  3031146  35.56
1910-1914     40-44     0.00614  0.03027  2.56   82940    2511  408571  2610539  31.47
1910-1914     45-49     0.00819  0.04016  2.61   80430    3230  394436  2201968  27.38
1910-1914     50-54     0.01144  0.05569  2.62   77200    4300  375772  1807532  23.41
1910-1914     55-59     0.01635  0.07865  2.60   72900    5734  350712  1431760  19.64
1910-1914     60-64     0.02314  0.10967  2.63   67166    7366  318404  1081048  16.10
1910-1914     65-69     0.03814  0.17482  2.62   59800   10454  274105   762645  12.75
1910-1914     70-74     0.06130  0.26681  2.57   49346   13166  214774   488540   9.90
1910-1914     75-79     0.09749  0.39212  2.51   36180   14187  145518   273766   7.57
1910-1914     80-84     0.13906  0.51121  2.41   21993   11243   80850   128247   5.83
1910-1914     85-89     0.20118  0.64504  2.22   10750    6934   34467    47397   4.41
1910-1914     90-94     0.27624  0.76298  2.07    3816    2911   10539    12929   3.39
1910-1914     95-99     0.36616  0.85414  1.88     904     773    2110     2390   2.64
1910-1914    100-104    0.46350  0.91420  1.69     132     121     260      280   2.12
1910-1914    105-109    0.56128  0.94987  1.52      11      11      19       20   1.77
1910-1914    110+       0.63810  1.00000  1.57       1       1       1        1   1.57
1915-1919        0      0.04960  0.04773  0.21  100000    4773   96238  6057147  60.57
1915-1919      1-4      0.00523  0.02066  1.61   95227    1968  376202  5960909  62.60
1915-1919      5-9      0.00220  0.01095  2.29   93259    1021  463526  5584707  59.88
1915-1919     10-14     0.00155  0.00770  2.58   92238     711  459470  5121181  55.52
1915-1919     15-19     0.00281  0.01395  2.85   91527    1277  454888  4661711  50.93
1915-1919     20-24     0.00448  0.02215  2.64   90251    1999  446542  4206824  46.61
1915-1919     25-29     0.00599  0.02951  2.52   88252    2604  434809  3760282  42.61
1915-1919     30-34     0.00646  0.03180  2.50   85648    2723  421437  3325473  38.83
1915-1919     35-39     0.00707  0.03477  2.54   82924    2883  407523  2904036  35.02
1915-1919     40-44     0.00730  0.03587  2.51   80041    2871  393050  2496513  31.19
1915-1919     45-49     0.00907  0.04438  2.56   77170    3425  377479  2103463  27.26
1915-1919     50-54     0.01196  0.05812  2.61   73745    4286  358471  1725984  23.40
1915-1919     55-59     0.01620  0.07804  2.65   69459    5421  334577  1367514  19.69
1915-1919     60-64     0.02425  0.11460  2.60   64039    7339  302611  1032937  16.13
1915-1919     65-69     0.03675  0.16914  2.65   56700    9590  260967   730325  12.88
1915-1919     70-74     0.05922  0.25906  2.58   47109   12204  206067   469358   9.96
1915-1919     75-79     0.09764  0.39214  2.49   34905   13688  140187   263292   7.54
1915-1919     80-84     0.13616  0.50419  2.43   21217   10698   78568   123105   5.80
1915-1919     85-89     0.21278  0.66870  2.22   10520    7035   33061    44537   4.23
1915-1919     90-94     0.28360  0.77350  2.06    3485    2696    9506    11476   3.29
1915-1919     95-99     0.38786  0.87259  1.85     789     689    1776     1971   2.50
1915-1919    100-104    0.50995  0.93581  1.62     101      94     185      195   1.94
1915-1919    105-109    0.63821  0.96887  1.41       6       6      10       10   1.56
1915-1919    110+       0.73942  1.00000  1.35       0       0       0        0   1.35
1920-1924        0      0.04735  0.04563  0.20  100000    4563   96367  6357564  63.58
1920-1924      1-4      0.00437  0.01730  1.57   95437    1651  377731  6261197  65.61
1920-1924      5-9      0.00177  0.00881  2.32   93785     827  466706  5883466  62.73
1920-1924     10-14     0.00127  0.00631  2.63   92959     587  463401  5416760  58.27
1920-1924     15-19     0.00198  0.00986  2.69   92372     911  459756  4953359  53.62
1920-1924     20-24     0.00296  0.01471  2.62   91461    1346  454101  4493603  49.13
1920-1924     25-29     0.00347  0.01722  2.54   90115    1552  446758  4039502  44.83
1920-1924     30-34     0.00404  0.01999  2.54   88563    1770  438454  3592744  40.57
1920-1924     35-39     0.00474  0.02342  2.59   86793    2033  429064  3154290  36.34
1920-1924     40-44     0.00566  0.02792  2.61   84760    2367  418137  2725226  32.15
1920-1924     45-49     0.00745  0.03660  2.58   82394    3016  404661  2307089  28.00
1920-1924     50-54     0.01062  0.05181  2.64   79378    4112  387163  1902429  23.97
1920-1924     55-59     0.01456  0.07037  2.63   75265    5296  363755  1515265  20.13
1920-1924     60-64     0.02258  0.10716  2.63   69969    7498  332047  1151511  16.46
1920-1924     65-69     0.03539  0.16294  2.57   62471   10179  287589   819464  13.12
1920-1924     70-74     0.05682  0.24993  2.59   52292   13069  230013   531876  10.17
1920-1924     75-79     0.09308  0.37833  2.53   39223   14839  159421   301863   7.70
1920-1924     80-84     0.13306  0.49588  2.43   24383   12091   90867   142441   5.84
1920-1924     85-89     0.21331  0.67149  2.24   12292    8254   38695    51575   4.20
1920-1924     90-94     0.29453  0.78525  2.03    4038    3171   10766    12880   3.19
1920-1924     95-99     0.39855  0.87975  1.83     867     763    1914     2113   2.44
1920-1924    100-104    0.51722  0.93772  1.60     104      98     189      199   1.91
1920-1924    105-109    0.63450  0.96760  1.41       6       6      10       10   1.57
1920-1924    110+       0.72436  1.00000  1.38       0       0       0        0   1.38
1925-1929        0      0.03874  0.03754  0.17  100000    3754   96897  6510032  65.10
1925-1929      1-4      0.00371  0.01469  1.55   96246    1414  381520  6413136  66.63
1925-1929      5-9      0.00157  0.00780  2.16   94832     739  472062  6031616  63.60
1925-1929     10-14     0.00120  0.00600  2.59   94093     565  469105  5559554  59.09
1925-1929     15-19     0.00177  0.00880  2.73   93528     823  465770  5090450  54.43
1925-1929     20-24     0.00259  0.01289  2.59   92705    1195  460643  4624680  49.89
1925-1929     25-29     0.00291  0.01442  2.53   91510    1320  454290  4164036  45.50
1925-1929     30-34     0.00318  0.01576  2.60   90190    1422  447532  3709746  41.13
1925-1929     35-39     0.00418  0.02067  2.55   88768    1835  439344  3262214  36.75
1925-1929     40-44     0.00492  0.02430  2.54   86933    2112  429467  2822870  32.47
1925-1929     45-49     0.00719  0.03533  2.60   84821    2996  416920  2393403  28.22
1925-1929     50-54     0.00996  0.04862  2.59   81825    3978  399544  1976484  24.16
1925-1929     55-59     0.01427  0.06904  2.66   77846    5374  376676  1576940  20.26
1925-1929     60-64     0.02193  0.10422  2.63   72472    7553  344448  1200264  16.56
1925-1929     65-69     0.03483  0.16071  2.60   64919   10433  299522   855815  13.18
1925-1929     70-74     0.05534  0.24455  2.62   54486   13324  240754   556293  10.21
1925-1929     75-79     0.09223  0.37326  2.45   41162   15364  166575   315539   7.67
1925-1929     80-84     0.13528  0.50385  2.47   25798   12998   96082   148964   5.77
1925-1929     85-89     0.21667  0.67333  2.19   12800    8618   39777    52882   4.13
1925-1929     90-94     0.29927  0.79516  2.05    4181    3325   11110    13105   3.13
1925-1929     95-99     0.41834  0.89276  1.79     856     765    1828     1995   2.33
1925-1929    100-104    0.54299  0.94636  1.56      92      87     160      167   1.82
1925-1929    105-109    0.66259  0.97244  1.37       5       5       7        7   1.50
1925-1929    110+       0.75163  1.00000  1.33       0       0       0        0   1.33
1930-1934        0      0.03284  0.03195  0.15  100000    3195   97292  6676571  66.77
1930-1934      1-4      0.00274  0.01090  1.57   96805    1055  384655  6579279  67.96
1930-1934      5-9      0.00122  0.00610  2.41   95750     584  477237  6194625  64.70
1930-1934     10-14     0.00088  0.00439  2.52   95165     418  474791  5717387  60.08
1930-1934     15-19     0.00166  0.00826  2.72   94748     783  471957  5242597  55.33
1930-1934     20-24     0.00222  0.01105  2.60   93965    1038  467332  4770639  50.77
1930-1934     25-29     0.00261  0.01298  2.57   92927    1207  461700  4303307  46.31
1930-1934     30-34     0.00284  0.01410  2.60   91720    1293  455493  3841607  41.88
1930-1934     35-39     0.00360  0.01784  2.65   90427    1613  448339  3386114  37.45
1930-1934     40-44     0.00440  0.02180  2.62   88814    1936  439471  2937775  33.08
1930-1934     45-49     0.00647  0.03189  2.66   86878    2770  427921  2498304  28.76
1930-1934     50-54     0.00928  0.04539  2.62   84108    3818  411468  2070383  24.62
1930-1934     55-59     0.01320  0.06400  2.62   80290    5138  389245  1658915  20.66
1930-1934     60-64     0.02090  0.09962  2.66   75151    7487  358226  1269670  16.89
1930-1934     65-69     0.03301  0.15288  2.59   67665   10345  313388   911444  13.47
1930-1934     70-74     0.05286  0.23469  2.61   57320   13453  254479   598057  10.43
1930-1934     75-79     0.09033  0.36822  2.49   43867   16153  178828   343578   7.83
1930-1934     80-84     0.12892  0.48426  2.43   27714   13421  104100   164750   5.94
1930-1934     85-89     0.20938  0.66192  2.22   14293    9461   45186    60650   4.24
1930-1934     90-94     0.29130  0.78604  2.07    4832    3798   13039    15464   3.20
1930-1934     95-99     0.41502  0.89128  1.80    1034     922    2220     2424   2.34
1930-1934    100-104    0.54532  0.94753  1.56     112     107     195      204   1.82
1930-1934    105-109    0.67261  0.97430  1.35       6       6       9        9   1.48
1930-1934    110+       0.76834  1.00000  1.30       0       0       0        0   1.30
1935-1939        0      0.03341  0.03249  0.15  100000    3249   97253  6702647  67.03
1935-1939      1-4      0.00258  0.01025  1.54   96751     992  384561  6605394  68.27
1935-1939      5-9      0.00121  0.00605  2.20   95759     579  477175  6220833  64.96
1935-1939     10-14     0.00092  0.00457  2.51   95180     435  474817  5743658  60.35
1935-1939     15-19     0.00143  0.00713  2.76   94745     676  472210  5268841  55.61
1935-1939     20-24     0.00215  0.01067  2.54   94069    1004  467874  4796631  50.99
1935-1939     25-29     0.00229  0.01138  2.53   93065    1059  462709  4328756  46.51
1935-1939     30-34     0.00246  0.01223  2.60   92006    1125  457325  3866047  42.02
1935-1939     35-39     0.00325  0.01613  2.64   90881    1466  450943  3408722  37.51
1935-1939     40-44     0.00445  0.02203  2.60   89415    1970  442351  2957778  33.08
1935-1939     45-49     0.00614  0.03025  2.60   87445    2645  430888  2515427  28.77
1935-1939     50-54     0.00895  0.04383  2.70   84800    3717  415447  2084539  24.58
1935-1939     55-59     0.01403  0.06792  2.67   81084    5507  392580  1669092  20.58
1935-1939     60-64     0.02104  0.10025  2.65   75577    7576  360106  1276513  16.89
1935-1939     65-69     0.03373  0.15613  2.62   68000   10617  314748   916406  13.48
1935-1939     70-74     0.05317  0.23608  2.63   57383   13547  254791   601659  10.48
1935-1939     75-79     0.08717  0.35740  2.48   43836   15667  179726   346868   7.91
1935-1939     80-84     0.13071  0.49015  2.45   28169   13807  105632   167142   5.93
1935-1939     85-89     0.20559  0.65483  2.23   14362    9405   45745    61510   4.28
1935-1939     90-94     0.29516  0.78577  2.02    4957    3895   13197    15765   3.18
1935-1939     95-99     0.40210  0.88209  1.82    1062     937    2330     2568   2.42
1935-1939    100-104    0.52011  0.93854  1.60     125     118     226      238   1.90
1935-1939    105-109    0.63424  0.96737  1.41       8       7      12       12   1.57
1935-1939    110+       0.72069  1.00000  1.39       0       0       0        0   1.39
1940-1944        0      0.03107  0.03027  0.15  100000    3027   97416  6755396  67.55
1940-1944      1-4      0.00225  0.00895  1.55   96973     868  385770  6657980  68.66
1940-1944      5-9      0.00091  0.00456  2.36   96106     438  479372  6272210  65.26
1940-1944     10-14     0.00083  0.00414  2.55   95667     396  477368  5792838  60.55
1940-1944     15-19     0.00123  0.00615  2.65   95271     586  474982  5315470  55.79
1940-1944     20-24     0.00211  0.01049  2.57   94685     993  471015  4840488  51.12
1940-1944     25-29     0.00224  0.01114  2.48   93692    1044  465826  4369473  46.64
1940-1944     30-34     0.00234  0.01165  2.54   92648    1079  460581  3903648  42.13
1940-1944     35-39     0.00278  0.01379  2.58   91569    1262  454792  3443067  37.60
1940-1944     40-44     0.00374  0.01851  2.60   90306    1672  447520  2988274  33.09
1940-1944     45-49     0.00571  0.02817  2.64   88635    2497  437278  2540754  28.67
1940-1944     50-54     0.00884  0.04333  2.72   86138    3732  422195  2103476  24.42
1940-1944     55-59     0.01384  0.06702  2.66   82406    5523  399120  1681281  20.40
1940-1944     60-64     0.02141  0.10198  2.68   76882    7840  366208  1282161  16.68
1940-1944     65-69     0.03481  0.16061  2.60   69042   11089  318584   915953  13.27
1940-1944     70-74     0.05528  0.24444  2.63   57953   14166  256249   597369  10.31
1940-1944     75-79     0.09017  0.36814  2.51   43787   16120  178770   341120   7.79
1940-1944     80-84     0.13192  0.49434  2.47   27667   13677  103674   162350   5.87
1940-1944     85-89     0.21081  0.66490  2.22   13990    9302   44126    58676   4.19
1940-1944     90-94     0.30167  0.79953  2.06    4688    3748   12425    14550   3.10
1940-1944     95-99     0.43180  0.90117  1.77     940     847    1961     2125   2.26
1940-1944    100-104    0.56390  0.95272  1.53      93      88     157      163   1.76
1940-1944    105-109    0.68873  0.97645  1.33       4       4       6        6   1.45
1940-1944    110+       0.78017  1.00000  1.28       0       0       0        0   1.28
1945-1949        0      0.02611  0.02553  0.13  100000    2553   97775  6947122  69.47
1945-1949      1-4      0.00165  0.00659  1.54   97447     642  388210  6849346  70.29
1945-1949      5-9      0.00068  0.00339  2.17   96805     328  483093  6461136  66.74
1945-1949     10-14     0.00064  0.00318  2.59   96476     306  481643  5978044  61.96
1945-1949     15-19     0.00104  0.00517  2.75   96170     497  479732  5496400  57.15
1945-1949     20-24     0.00150  0.00747  2.53   95672     715  476595  5016669  52.44
1945-1949     25-29     0.00160  0.00795  2.60   94957     755  472977  4540074  47.81
1945-1949     30-34     0.00168  0.00837  2.63   94203     788  469144  4067097  43.17
1945-1949     35-39     0.00229  0.01139  2.64   93414    1064  464559  3597953  38.52
1945-1949     40-44     0.00294  0.01461  2.70   92350    1349  458652  3133394  33.93
1945-1949     45-49     0.00530  0.02618  2.72   91001    2383  449574  2674741  29.39
