The United States of America, Life tables (period 5x5), Total	Last modified: 02 Jun 2022;  Methods Protocol: v6 (2017)

  Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
1933-1934        0      0.06482  0.06188  0.27  100000    6188   95457  6054461  60.54
1933-1934      1-4      0.00506  0.01997  1.40   93812    1874  370369  5959004  63.52
1933-1934      5-9      0.00166  0.00825  2.31   91938     759  457648  5588635  60.79
1933-1934     10-14     0.00137  0.00680  2.61   91179     620  454413  5130987  56.27
1933-1934     15-19     0.00229  0.01140  2.70   90559    1032  450420  4676574  51.64
1933-1934     20-24     0.00330  0.01637  2.58   89527    1465  444089  4226154  47.21
1933-1934     25-29     0.00374  0.01855  2.53   88061    1634  436277  3782065  42.95
1933-1934     30-34     0.00438  0.02166  2.58   86428    1872  427618  3345788  38.71
1933-1934     35-39     0.00560  0.02765  2.57   84556    2338  417096  2918170  34.51
1933-1934     40-44     0.00701  0.03448  2.61   82218    2835  404313  2501075  30.42
1933-1934     45-49     0.00991  0.04841  2.62   79383    3843  387779  2096762  26.41
1933-1934     50-54     0.01385  0.06703  2.59   75540    5063  365476  1708983  22.62
1933-1934     55-59     0.01862  0.08915  2.62   70477    6283  337406  1343507  19.06
1933-1934     60-64     0.02826  0.13228  2.59   64194    8492  300500  1006101  15.67
1933-1934     65-69     0.04033  0.18381  2.59   55702   10238  253851   705601  12.67
1933-1934     70-74     0.06398  0.27630  2.53   45464   12561  196339   451749   9.94
1933-1934     75-79     0.09164  0.37250  2.49   32902   12256  133735   255410   7.76
1933-1934     80-84     0.13799  0.50677  2.38   20646   10463   75826   121675   5.89
1933-1934     85-89     0.19802  0.64043  2.24   10183    6522   32935    45848   4.50
1933-1934     90-94     0.26519  0.74280  2.04    3662    2720   10256    12913   3.53
1933-1934     95-99     0.34097  0.83211  1.92     942     784    2298     2657   2.82
1933-1934    100-104    0.43232  0.89797  1.75     158     142     328      359   2.27
1933-1934    105-109    0.52888  0.94007  1.57      16      15      29       30   1.88
1933-1934    110+       0.60733  1.00000  1.65       1       1       2        2   1.65
1935-1939        0      0.05930  0.05676  0.25  100000    5676   95722  6154862  61.55
1935-1939      1-4      0.00413  0.01635  1.42   94324    1542  373317  6059141  64.24
1935-1939      5-9      0.00144  0.00715  2.30   92782     663  462120  5685824  61.28
1935-1939     10-14     0.00124  0.00619  2.63   92118     570  459241  5223704  56.71
1935-1939     15-19     0.00212  0.01054  2.70   91548     965  455519  4764462  52.04
1935-1939     20-24     0.00295  0.01466  2.57   90584    1328  449696  4308943  47.57
